method,mean_cost_ev,mean_cost_ch,delta_cost_ev_minus_ch,mean_saving_ev,mean_saving_ch,better_case
Perfect,4525.676294646347,4158.197884472404,367.4784101739424,38.46746853386358,43.06987455839155,Charger
Statistic,5223.869790516967,4653.0942142947,570.7755762222681,27.241458740597533,34.683929256206646,Charger
Persistence,5306.69917527436,4688.431609961081,618.2675653132779,25.66754735774369,34.18781609608009,Charger
GMM,5120.759207146547,4493.878223715476,626.8809834310706,28.77226752786233,38.42330151021829,Charger
TCN,5226.427260745027,4275.108562586148,951.3186981588793,27.408003115094342,39.53471339833825,Charger
iTransformer,5398.303345310433,4376.599912213793,1021.7034330966402,26.763853864264632,38.678273639042395,Charger
Transformer,5494.04645819631,4358.874618536373,1135.171839659936,25.414336775484077,39.03307829916502,Charger
LSTM,6077.9611658709,4668.510507440592,1409.4506584303072,15.160440605048592,32.21803751879395,Charger
Noforecast,6634.103041180258,5195.933167996064,1438.1698731841946,10.035410898908808,26.38296371711429,Charger
