day,day_type,method,case,actual_sessions,forecast_sessions,actual_energy,forecast_energy,v0g_cost,mpc_cost,cost_saving_abs,cost_saving_pct,peak_kw,energy_kwh,status_ratio_optimal,energy_error_pct,session_error_pct
2023-07-01,weekend,GMM,Charger,73,53,843.2769999999999,582.076406149058,4808.702476322605,2804.12286116091,2004.5796151616955,41.686497033908246,67.270979,789.5517195,0.9895833333333334,30.97447147864129,27.397260273972602
2023-07-01,weekend,LSTM,Charger,73,29,843.2769999999999,157.87760657985962,4808.702476322605,3152.932817697706,1655.7696586248994,34.43277405449148,73.677528,769.4504937500001,0.9895833333333334,81.27808459380968,60.273972602739725
2023-07-01,weekend,Noforecast,Charger,73,0,843.2769999999999,0.0,4808.702476322605,3445.9474679340456,1362.7550083885599,28.33934964990202,78.642138,773.4520002,0.9583333333333334,100.0,100.0
2023-07-01,weekend,Perfect,Charger,73,73,843.2769999999999,843.2769999999999,4808.702476322605,2561.5707272721284,2247.131749050477,46.73052159319582,65.656966,803.0969627500001,0.9895833333333334,0.0,0.0
2023-07-01,weekend,Persistence,Charger,73,80,843.2769999999999,914.388,4808.702476322605,3190.710264146981,1617.9922121756244,33.64716823597212,86.268999,856.7875900000001,0.9895833333333334,8.432697678224368,9.58904109589041
2023-07-01,weekend,Statistic,Charger,73,27,843.2769999999999,212.777,4808.702476322605,3150.229716099813,1658.4727602227927,34.48898675659154,72.343521,775.6400000000001,0.9895833333333334,74.76784022331927,63.013698630136986
2023-07-01,weekend,TCN,Charger,73,55,843.2769999999999,458.23762500196625,4808.702476322605,2666.3729218455373,2142.329554477068,44.55109387668724,61.235829,766.600711,0.9895833333333334,45.65989289379809,24.65753424657534
2023-07-01,weekend,Transformer,Charger,73,48,843.2769999999999,442.5133213678706,4808.702476322605,2810.1202430404096,1998.5822332821958,41.56177769622766,66.680972,787.72352425,0.9895833333333334,47.52455938346822,34.24657534246575
2023-07-01,weekend,iTransformer,Charger,73,47,843.2769999999999,378.31258431362113,4808.702476322605,2767.174950144786,2041.5275261778193,42.45485214005279,64.772873,775.918909775,0.9895833333333334,55.13780355522312,35.61643835616438
2023-07-01,weekend,GMM,EV,73,53,843.2769999999999,582.076406149058,4808.702476322605,3200.198936372257,1608.5035399503486,33.449845314206904,82.312123,843.27699965,0.9895833333333334,30.97447147864129,27.397260273972602
2023-07-01,weekend,LSTM,EV,73,29,843.2769999999999,157.87760657985962,4808.702476322605,3579.233731697847,1229.4687446247585,25.56757775467488,84.16044,843.2770000999999,0.9895833333333334,81.27808459380968,60.273972602739725
2023-07-01,weekend,Noforecast,EV,73,0,843.2769999999999,0.0,4808.702476322605,3807.9696805586627,1000.7327957639427,20.81086947448744,86.514023,843.2769986999999,0.9583333333333334,100.0,100.0
2023-07-01,weekend,Perfect,EV,73,73,843.2769999999999,843.2769999999999,4808.702476322605,2712.5022572658027,2096.200219056803,43.591805260945264,70.323636,843.2769976499999,0.9895833333333334,0.0,0.0
2023-07-01,weekend,Persistence,EV,73,80,843.2769999999999,914.388,4808.702476322605,3552.5301093641233,1256.1723669584821,26.122896418393598,94.738649,843.27699975,0.9895833333333334,8.432697678224368,9.58904109589041
2023-07-01,weekend,Statistic,EV,73,27,843.2769999999999,212.777,4808.702476322605,3528.680643206421,1280.0218331161846,26.61886110481647,81.417282,843.27699925,0.9895833333333334,74.76784022331927,63.013698630136986
2023-07-01,weekend,TCN,EV,73,55,843.2769999999999,458.23762500196625,4808.702476322605,3112.0142561784655,1696.68822014414,35.28370134144088,64.973296,843.27700005,0.9895833333333334,45.65989289379809,24.65753424657534
2023-07-01,weekend,Transformer,EV,73,48,843.2769999999999,442.5133213678706,4808.702476322605,3128.4993326407957,1680.2031436818097,34.94088378216163,73.736316,843.276999125,0.9895833333333334,47.52455938346822,34.24657534246575
2023-07-01,weekend,iTransformer,EV,73,47,843.2769999999999,378.31258431362113,4808.702476322605,3084.7522975393167,1723.9501787832887,35.85063096067565,69.169809,843.27699975,0.9895833333333334,55.13780355522312,35.61643835616438
