day,day_type,method,case,actual_sessions,forecast_sessions,actual_energy,forecast_energy,v0g_cost,mpc_cost,cost_saving_abs,cost_saving_pct,peak_kw,energy_kwh,status_ratio_optimal
2023-07-01,weekend,GMM,Charger,73,53,843.2769999999999,582.076406149058,4808.702476322605,2804.12286116091,2004.5796151616955,41.686497033908246,67.270979,789.5517195,0.9895833333333334
2023-07-01,weekend,LSTM,Charger,73,29,843.2769999999999,157.87760657985962,4808.702476322605,3152.932817697706,1655.7696586248994,34.43277405449148,73.677528,769.4504937500001,0.9895833333333334
2023-07-01,weekend,Noforecast,Charger,73,0,843.2769999999999,0.0,4808.702476322605,3445.9474679340456,1362.7550083885599,28.33934964990202,78.642138,773.4520002,0.9583333333333334
2023-07-01,weekend,Perfect,Charger,73,73,843.2769999999999,843.2769999999999,4808.702476322605,2561.5707272721284,2247.131749050477,46.73052159319582,65.656966,803.0969627500001,0.9895833333333334
2023-07-01,weekend,Persistence,Charger,73,80,843.2769999999999,914.388,4808.702476322605,3190.710264146981,1617.9922121756244,33.64716823597212,86.268999,856.7875900000001,0.9895833333333334
2023-07-01,weekend,Statistic,Charger,73,27,843.2769999999999,212.777,4808.702476322605,3150.229716099813,1658.4727602227927,34.48898675659154,72.343521,775.6400000000001,0.9895833333333334
2023-07-01,weekend,TCN,Charger,73,55,843.2769999999999,458.23762500196625,4808.702476322605,2666.3729218455373,2142.329554477068,44.55109387668724,61.235829,766.600711,0.9895833333333334
2023-07-01,weekend,Transformer,Charger,73,48,843.2769999999999,442.5133213678706,4808.702476322605,2810.1202430404096,1998.5822332821958,41.56177769622766,66.680972,787.72352425,0.9895833333333334
2023-07-01,weekend,iTransformer,Charger,73,47,843.2769999999999,378.31258431362113,4808.702476322605,2767.174950144786,2041.5275261778193,42.45485214005279,64.772873,775.918909775,0.9895833333333334
2023-07-01,weekend,GMM,EV,73,53,843.2769999999999,582.076406149058,4808.702476322605,3200.198936372257,1608.5035399503486,33.449845314206904,82.312123,843.27699965,0.9895833333333334
2023-07-01,weekend,LSTM,EV,73,29,843.2769999999999,157.87760657985962,4808.702476322605,3579.233731697847,1229.4687446247585,25.56757775467488,84.16044,843.2770000999999,0.9895833333333334
