day,method,case,t_idx,load_kw
2023-07-01,Perfect,Charger,33,39.6
2023-07-01,Perfect,Charger,34,59.4
2023-07-01,Perfect,Charger,35,63.296
2023-07-01,Perfect,Charger,36,65.656966
2023-07-01,Perfect,Charger,37,65.656966
2023-07-01,Perfect,Charger,38,65.656966
2023-07-01,Perfect,Charger,39,65.656966
2023-07-01,Perfect,Charger,40,52.8
2023-07-01,Perfect,Charger,41,53.972
2023-07-01,Perfect,Charger,42,60.309102
2023-07-01,Perfect,Charger,43,52.8
2023-07-01,Perfect,Charger,44,65.656966
2023-07-01,Perfect,Charger,45,65.656966
2023-07-01,Perfect,Charger,46,63.39668
2023-07-01,Perfect,Charger,47,65.656966
2023-07-01,Perfect,Charger,48,65.656966
2023-07-01,Perfect,Charger,49,65.656966
2023-07-01,Perfect,Charger,50,65.656966
2023-07-01,Perfect,Charger,51,62.047034
2023-07-01,Perfect,Charger,52,59.530068
2023-07-01,Perfect,Charger,53,65.656966
2023-07-01,Perfect,Charger,54,65.656966
2023-07-01,Perfect,Charger,55,65.656966
2023-07-01,Perfect,Charger,56,65.656966
2023-07-01,Perfect,Charger,57,65.656966
2023-07-01,Perfect,Charger,58,65.656966
2023-07-01,Perfect,Charger,59,65.224681
2023-07-01,Perfect,Charger,60,53.63449
2023-07-01,Perfect,Charger,61,52.107442
2023-07-01,Perfect,Charger,62,51.205932
2023-07-01,Perfect,Charger,63,55.968
2023-07-01,Perfect,Charger,64,65.656966
2023-07-01,Perfect,Charger,65,24.9372
2023-07-01,Perfect,Charger,66,24.9372
2023-07-01,Perfect,Charger,67,24.9372
2023-07-01,Perfect,Charger,68,24.9372
2023-07-01,Perfect,Charger,69,24.9372
2023-07-01,Perfect,Charger,70,24.9372
2023-07-01,Perfect,Charger,71,24.9372
2023-07-01,Perfect,Charger,72,24.9372
2023-07-01,Perfect,Charger,73,24.9372
2023-07-01,Perfect,Charger,74,24.9372
2023-07-01,Perfect,Charger,75,24.9372
2023-07-01,Perfect,Charger,76,24.2232
2023-07-01,Perfect,Charger,77,24.9372
2023-07-01,Perfect,Charger,78,24.9372
2023-07-01,Perfect,Charger,79,19.8
2023-07-01,Perfect,Charger,80,24.9372
2023-07-01,Perfect,Charger,81,19.8
2023-07-01,Perfect,Charger,82,19.8
2023-07-01,Perfect,Charger,83,19.8
2023-07-01,Perfect,Charger,84,19.8
2023-07-01,Perfect,Charger,85,39.6
2023-07-01,Perfect,Charger,86,38.128
2023-07-01,Perfect,Charger,87,33.0
2023-07-01,Perfect,Charger,88,29.532
2023-07-01,Perfect,Charger,89,19.8
2023-07-01,Perfect,Charger,90,13.2
2023-07-01,Perfect,Charger,91,0.0
2023-07-01,Perfect,Charger,92,0.0
2023-07-01,Perfect,Charger,93,4.788
2023-07-01,Perfect,Charger,94,6.6
2023-07-01,Perfect,Charger,95,0.0
2023-07-01,Perfect,Charger,96,0.0
2023-07-01,Noforecast,EV,1,0.0
2023-07-01,Noforecast,EV,2,0.0
2023-07-01,Noforecast,EV,3,0.0
2023-07-01,Noforecast,EV,4,4.2535
2023-07-01,Noforecast,EV,5,4.2535
2023-07-01,Noforecast,EV,6,5.3966981
2023-07-01,Noforecast,EV,7,5.3966981
2023-07-01,Noforecast,EV,8,5.3966981
2023-07-01,Noforecast,EV,9,5.3966981
2023-07-01,Noforecast,EV,10,5.3966981
2023-07-01,Noforecast,EV,11,5.3966981
2023-07-01,Noforecast,EV,12,6.4551662
2023-07-01,Noforecast,EV,13,6.4551662
2023-07-01,Noforecast,EV,14,6.4551662
2023-07-01,Noforecast,EV,15,6.4551662
2023-07-01,Noforecast,EV,16,6.4551662
2023-07-01,Noforecast,EV,17,6.4551662
2023-07-01,Noforecast,EV,18,10.704485
2023-07-01,Noforecast,EV,19,10.704485
2023-07-01,Noforecast,EV,20,10.704485
2023-07-01,Noforecast,EV,21,10.704485
2023-07-01,Noforecast,EV,22,10.704485
2023-07-01,Noforecast,EV,23,10.704485
2023-07-01,Noforecast,EV,24,10.704485
2023-07-01,Noforecast,EV,25,10.704485
2023-07-01,Noforecast,EV,26,11.80321
2023-07-01,Noforecast,EV,27,11.80321
2023-07-01,Noforecast,EV,28,14.159626
2023-07-01,Noforecast,EV,29,19.003614
2023-07-01,Noforecast,EV,30,22.503227
