target_day,charger_count,session_count,ev_variable_count,charger_variable_count,ev_objective,charger_objective,objective_gap,max_load_gap_kw,ev_runtime_seconds,charger_runtime_seconds,runtime_ratio_ev_over_charger,energy_kwh,peak_kw,charger_ids
2023-07-17,9,15,1442,1730,538.8362706583397,538.8362706583398,1.1368683772161603e-13,1.4210854715202004e-14,0.013660959084518254,0.019752166932448745,0.6916182478225268,137.95399999999998,15.756002080854927,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1
2023-08-01,9,14,1346,1730,501.2231699655239,501.223169965524,1.1368683772161603e-13,2.2108759267780442e-11,0.013343167025595903,0.01978895894717425,0.674273318834755,129.88,11.840666666666664,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1
2023-08-15,9,11,1058,1730,698.2187997036459,698.2187997036459,0.0,3.552713678800501e-15,0.010833791922777891,0.02030258404556662,0.5336164055995432,144.293,23.946502696351573,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1
2023-09-01,9,12,1154,1730,692.8855232809683,692.8855232809683,0.0,1.3571366253017914e-11,0.012178582954220474,0.01597545901313424,0.7623307063795687,168.44,16.322285714285734,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1
2023-09-15,9,11,1058,1730,733.2505922688637,733.250592268864,3.410605131648481e-13,7.815970093361102e-14,0.011044458020478487,0.019282042048871517,0.5727846662965277,151.685,13.20000974479373,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1
2023-09-29,9,14,1346,1730,498.90508515977166,498.90508515977166,0.0,7.460698725481052e-14,0.013728959020227194,0.02041037497110665,0.6726460949229103,160.214,18.52626859331704,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1
2023-07-03,12,23,2210,2306,1096.9461203030883,1096.9461203030894,1.1368683772161603e-12,5.424816151844425e-11,0.020940124988555908,0.02789012505672872,0.7508078556823801,261.63399999999996,25.038461538461547,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1;UCSD / SIO P001 1|2;UCSD / SCHOLARS - 01|2;UCSD / OSLER 4-1|2
2023-07-17,12,20,1922,2306,794.6976745549078,794.6976745549076,-2.2737367544323206e-13,2.216348111983013e-11,0.021223042043857276,0.027856500004418194,0.7618703728211077,220.419,25.255733333333353,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1;UCSD / SIO P001 1|2;UCSD / SCHOLARS - 01|2;UCSD / OSLER 4-1|2
2023-08-01,12,21,2018,2306,745.3294284447707,745.3294284447704,-2.2737367544323206e-13,3.2009062067572813e-11,0.019283875008113682,0.025778040988370776,0.7480737196753314,226.041,18.26745945945947,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1;UCSD / SIO P001 1|2;UCSD / SCHOLARS - 01|2;UCSD / OSLER 4-1|2
2023-08-15,12,14,1346,2306,889.9092823647684,889.9092823647684,0.0,7.105427357601002e-15,0.012629250064492226,0.022055041044950485,0.5726241922992793,198.99099999999976,31.09640343661372,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1;UCSD / SIO P001 1|2;UCSD / SCHOLARS - 01|2;UCSD / OSLER 4-1|2
2023-09-01,12,18,1730,2306,739.8306027351056,739.8306027351058,2.2737367544323206e-13,2.6703084188284265e-11,0.01617008401080966,0.02156191598623991,0.7499372514543171,232.45300000000003,18.63944736842107,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1;UCSD / SIO P001 1|2;UCSD / SCHOLARS - 01|2;UCSD / OSLER 4-1|2
2023-09-15,12,15,1442,2306,887.0441910125458,887.044191012546,2.2737367544323206e-13,4.263256414560601e-14,0.01355170807801187,0.02411433297675103,0.5619773141175941,232.04799999999997,21.73967009221607,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1;UCSD / SIO P001 1|2;UCSD / SCHOLARS - 01|2;UCSD / OSLER 4-1|2
2023-09-29,12,18,1730,2306,869.1563282698768,869.1563282698768,0.0,2.4868995751603507e-14,0.01633287500590086,0.025306624942459166,0.6453991807693703,214.50099999999998,21.433836709966727,UCSD / GILMAN 2-2|2;UCSD / SCHOLARS - 07|2;UCSD / RADY P357 5|2;UCSD / BIRCH AQUARIUM|1;UCSD / SCHOLARS - 01|1;UCSD / SCHOLARS - 08|2;UCSD / RADY P357 3|2;UCSD / SCHOLARS - 03|2;UCSD / SCHOLARS - 07|1;UCSD / SIO P001 1|2;UCSD / SCHOLARS - 01|2;UCSD / OSLER 4-1|2
