target_day,method,actual_session_count,forecast_session_count,matched_session_count,count_mae_per_charger,arrival_mae_slots,departure_mae_slots,energy_mae_kwh,arrival_upper_coverage,departure_lower_coverage,energy_upper_coverage
2023-07-16,HistoricalMedian,3.0,10.0,3.0,1.1666666666666667,18.0,25.666666666666668,17.134,0.6666666666666666,1.0,0.3333333333333333
2023-07-16,ConformalRobust,3.0,10.0,3.0,1.1666666666666667,3.6666666666666665,16.333333333333332,21.323000000000004,,,
2023-07-17,Persistence,11.0,5.0,3.0,1.6666666666666667,19.0,17.333333333333332,14.424666666666667,,,
2023-07-17,HistoricalMedian,11.0,10.0,7.0,1.1666666666666667,8.857142857142858,8.857142857142858,6.192214285714286,1.0,0.8571428571428571,1.0
2023-07-17,ConformalRobust,11.0,10.0,7.0,1.1666666666666667,20.142857142857142,9.428571428571429,10.202,,,
2023-07-18,Persistence,10.0,9.0,8.0,0.5,11.25,7.125,11.69375,,,
2023-07-18,HistoricalMedian,10.0,8.0,6.0,1.0,12.666666666666666,9.833333333333334,11.0105,0.8333333333333334,1.0,0.8333333333333334
2023-07-18,ConformalRobust,10.0,8.0,6.0,1.0,24.0,12.333333333333334,16.2135,,,
2023-07-19,Persistence,9.0,6.0,4.0,1.1666666666666667,12.75,18.5,10.790000000000001,,,
2023-07-19,HistoricalMedian,9.0,8.0,5.0,1.1666666666666667,11.2,11.8,8.767,1.0,1.0,1.0
2023-07-19,ConformalRobust,9.0,8.0,5.0,1.1666666666666667,26.6,13.4,11.507200000000001,,,
2023-07-20,Persistence,10.0,16.0,9.0,1.3333333333333333,7.777777777777778,9.88888888888889,11.655777777777779,,,
2023-07-20,HistoricalMedian,10.0,10.0,7.0,1.0,9.857142857142858,14.0,7.1500714285714295,1.0,0.8571428571428571,0.8571428571428571
2023-07-20,ConformalRobust,10.0,10.0,7.0,1.0,26.857142857142858,18.428571428571427,10.735714285714286,,,
2023-07-21,Persistence,10.0,8.0,5.0,1.3333333333333333,8.6,9.0,8.2632,,,
2023-07-21,HistoricalMedian,10.0,11.0,7.0,1.1666666666666667,8.571428571428571,9.714285714285714,5.639785714285714,1.0,0.8571428571428571,1.0
2023-07-21,ConformalRobust,10.0,11.0,7.0,1.1666666666666667,20.142857142857142,15.142857142857142,5.700857142857143,,,
2023-07-22,Persistence,6.0,3.0,3.0,0.5,12.0,13.0,1.6936666666666664,,,
2023-07-22,HistoricalMedian,6.0,7.0,6.0,0.16666666666666666,8.333333333333334,8.166666666666666,3.125166666666667,1.0,1.0,1.0
