method,q3_cost,saving_pct_vs_v0g,regret_pct_vs_perfect
V0G,5821.1550523838005,0.0,45.50011755661181
Perfect,4000.790617999934,31.271533192341533,0.0
NoForecast,4243.882190794942,27.09553082498558,6.076088353669806
Persistence,4317.582632546037,25.829451480115466,7.918235288815802
HistoricalMedian,4240.0328722953,27.161657194494776,5.979874408298012
ConformalRobust,4177.900932005325,28.229004477479993,4.426882856817215
