driver_id,session_start_time_la,session_end_time_la,total_energy_dispensed,station_name,port,type,AT,DT,ED
25860111,2023-07-03T07:52:14.0,2023-07-03T16:58:57.0,5.998,UCSD / OSLER 3-2,1,weekday,7.87,16.96,5.998
34875561,2023-07-03T07:53:32.0,2023-07-03T15:04:58.0,43.071,UCSD / OSLER 4-1,2,weekday,7.89,15.06,43.071
1055071,2023-07-03T07:56:19.0,2023-07-03T15:27:46.0,4.249,UCSD / ATHENA EV4,1,weekday,7.94,15.45,4.249
24329221,2023-07-03T08:00:49.0,2023-07-03T10:43:59.0,8.182,UCSD / OSLER 4-2,2,weekday,8.0,10.71,8.182
39468571,2023-07-03T08:03:13.0,2023-07-03T13:49:14.0,14.868,UCSD / SCHOLARS - 03,2,weekday,8.06,13.81,14.868
34569081,2023-07-03T08:03:14.0,2023-07-03T10:17:03.0,2.778,UCSD / RADY P357 2,1,weekday,8.06,10.28,2.778
751315,2023-07-03T08:06:17.0,2023-07-03T15:44:41.0,2.434,UCSD / ATHENA EV1,1,weekday,8.1,15.73,2.434
23494861,2023-07-03T08:06:51.0,2023-07-03T15:49:16.0,46.695,UCSD / OSLER 4-4,1,weekday,8.1,15.81,46.695
32372241,2023-07-03T08:07:32.0,2023-07-03T12:42:28.0,27.549,UCSD / NUEVO WEST 2-2,1,weekday,8.12,12.7,27.549
38859821,2023-07-03T08:09:41.0,2023-07-03T16:59:50.0,12.971,UCSD / NUEVO WEST 1-4,2,weekday,8.15,16.98,12.971
40194921,2023-07-03T08:10:25.0,2023-07-03T12:57:12.0,13.515,UCSD / SCHOLARS - 08,2,weekday,8.17,12.95,13.515
2034371,2023-07-03T08:12:32.0,2023-07-03T17:30:45.0,6.953,UCSD / NUEVO WEST 2-2,2,weekday,8.2,17.5,6.953
2585491,2023-07-03T08:12:50.0,2023-07-03T15:21:34.0,2.379,UCSD / HUBBS HALL 2,2,weekday,8.2,15.35,2.379
24593881,2023-07-03T08:13:20.0,2023-07-03T13:34:20.0,11.436,UCSD / CSC 1,1,weekday,8.22,13.56,11.436
24426981,2023-07-03T08:17:26.0,2023-07-03T12:38:15.0,3.721,UCSD / ARBOR PARKING 2,1,weekday,8.29,12.63,3.721
22944681,2023-07-03T08:17:56.0,2023-07-03T12:02:54.0,9.72,UCSD / GILMAN 3-1,1,weekday,8.29,12.03,9.72
24419531,2023-07-03T08:23:37.0,2023-07-03T15:45:05.0,29.13,UCSD / NUEVO WEST 2-3,1,weekday,8.39,15.75,29.13
28746231,2023-07-03T08:24:34.0,2023-07-03T09:32:55.0,6.419,UCSD / OSLER 3-1,2,weekday,8.4,9.53,6.419
