driver_id,session_start_time_la,session_end_time_la,total_energy_dispensed,station_name,port,type,AT,DT,ED
37186031,2023-06-25T13:19:05.0,2023-06-25T15:17:19.0,7.639,UCSD / ARBOR PARKING 2,2,weekend,13.32,15.28,7.639
20558511,2023-06-25T13:28:11.0,2023-06-25T16:47:34.0,20.082,UCSD / NUEVO WEST 3-2,1,weekend,13.47,16.78,20.082
1723741,2023-06-25T13:36:33.0,2023-06-25T16:43:21.0,17.492,UCSD / OSLER 3-2,2,weekend,13.6,16.71,17.492
3090841,2023-06-25T13:40:00.0,2023-06-25T16:02:18.0,10.485,UCSD / GREENWICH 2,1,weekend,13.67,16.03,10.485
33619651,2023-06-25T13:45:02.0,2023-06-25T16:46:39.0,13.828,UCSD / SCHOLARS - 14,2,weekend,13.75,16.76,13.828
2606311,2023-06-25T13:47:18.0,2023-06-25T16:00:19.0,10.439,UCSD / BIRCH AQUARIUM,1,weekend,13.79,16.0,10.439
27423861,2023-06-25T13:49:00.0,2023-06-25T18:29:13.0,13.485,UCSD / SIO P001 2,1,weekend,13.82,18.48,13.485
35796271,2023-06-25T14:08:15.0,2023-06-25T22:56:21.0,32.681,UCSD / BACHMAN EV2,1,weekend,14.14,22.93,32.681
39939311,2023-06-25T14:08:37.0,2023-06-25T22:20:54.0,38.529,UCSD / ATHENA EV1,1,weekend,14.14,22.33,38.529
35492091,2023-06-25T14:19:38.0,2023-06-25T21:32:24.0,42.443,UCSD / GILMAN 3-1,1,weekend,14.32,21.53,42.443
37199141,2023-06-25T14:26:41.0,2023-06-25T18:59:23.0,12.859,UCSD / OSLER 2-1,1,weekend,14.44,18.98,12.859
27639511,2023-06-25T14:39:21.0,2023-06-25T18:08:40.0,19.928,UCSD / NUEVO WEST 1-3,1,weekend,14.65,18.13,19.928
22749391,2023-06-25T14:50:41.0,2023-06-25T15:34:20.0,3.662,UCSD / OSLER 4-4,2,weekend,14.84,15.56,3.662
39879321,2023-06-25T14:58:21.0,2023-06-25T23:35:00.0,19.721,UCSD / BACHMAN EV2,2,weekend,14.97,23.58,19.721
4334871,2023-06-25T14:58:30.0,2023-06-25T15:53:22.0,4.927,UCSD / GILMAN 2-2,2,weekend,14.97,15.88,4.927
25400561,2023-06-25T14:59:03.0,2023-06-25T18:56:36.0,4.908,UCSD / NUEVO WEST 3-3,2,weekend,14.99,18.93,4.908
29328831,2023-06-25T15:07:22.0,2023-06-25T16:12:36.0,6.064,UCSD / P610 2,2,weekend,15.12,16.2,6.064
