driver_id,session_start_time_la,session_end_time_la,total_energy_dispensed,station_name,port,type,AT,DT,ED
40121651,2023-07-01T00:40:11.0,2023-07-01T08:30:21.0,34.028,UCSD / NUEVO WEST 3-4,2,weekend,0.67,8.5,34.028
38803041,2023-07-01T01:02:42.0,2023-07-01T14:20:25.0,39.605,UCSD / NUEVO WEST 2-3,2,weekend,1.04,14.33,39.605
32250151,2023-07-01T02:42:48.0,2023-07-01T05:55:50.0,12.437,UCSD / GILMAN 3-1,2,weekend,2.7,5.91,12.437
22185461,2023-07-01T04:05:45.0,2023-07-01T07:04:35.0,15.453,UCSD / ECPS EAST,1,weekend,4.09,7.06,15.453
31986851,2023-07-01T06:09:42.0,2023-07-01T17:08:11.0,47.067,UCSD / ECPS EAST,2,weekend,6.15,17.13,47.067
26563421,2023-07-01T06:34:59.0,2023-07-01T23:32:08.0,13.336,UCSD / BACHMAN EV2,2,weekend,6.57,23.53,13.336
40096521,2023-07-01T06:45:53.0,2023-07-01T09:36:33.0,13.704,UCSD / ECPS WEST,1,weekend,6.75,9.6,13.704
29383931,2023-07-01T06:47:16.0,2023-07-01T12:13:03.0,27.83,UCSD / NUEVO WEST 1-2,1,weekend,6.79,12.21,27.83
20285561,2023-07-01T07:05:06.0,2023-07-01T17:50:16.0,5.924,UCSD / SOM P602 1,2,weekend,7.09,17.83,5.924
474747,2023-07-01T07:09:03.0,2023-07-01T09:16:39.0,10.74,UCSD / GILMAN 2-2,2,weekend,7.15,9.26,10.74
612049,2023-07-01T07:38:04.0,2023-07-01T09:15:05.0,3.142,UCSD / BACHMAN EV2,1,weekend,7.64,9.25,3.142
25984601,2023-07-01T08:05:47.0,2023-07-01T09:21:32.0,7.124,UCSD / P013,2,weekend,8.09,9.35,7.124
807359,2023-07-01T08:29:13.0,2023-07-01T11:30:25.0,9.223,UCSD / OSLER 4-1,2,weekend,8.49,11.5,9.223
34568161,2023-07-01T08:32:10.0,2023-07-01T15:08:51.0,21.115,UCSD / P610 3,1,weekend,8.54,15.13,21.115
35171291,2023-07-01T08:34:39.0,2023-07-01T11:55:38.0,19.262,UCSD / RADY P357 1,1,weekend,8.57,11.91,19.262
26680181,2023-07-01T08:36:03.0,2023-07-01T16:07:42.0,5.531,UCSD / NUEVO WEST 1-1,1,weekend,8.6,16.11,5.531
3920521,2023-07-01T08:38:17.0,2023-07-01T12:09:30.0,21.638,UCSD / NUEVO WEST 3-2,2,weekend,8.64,12.15,21.638
3090841,2023-07-01T08:43:07.0,2023-07-01T11:33:18.0,12.391,UCSD / P610 1,1,weekend,8.72,11.55,12.391
