task,model,entity_count,train_target_days,validation_target_days,test_target_days,context_days,comparison_scope,scope_energy_coverage,operational_daily_energy_mae_kwh,operational_daily_energy_wape,count_mae,energy_mae_kwh,energy_wape,actual_active_rate,predicted_active_rate,participation_precision,participation_recall,participation_f1,arrival_mae_slots,departure_mae_slots,dwell_mae_slots,aggregate_daily_energy_mae_kwh,aggregate_daily_energy_wape,scope_test_energy_kwh,validation_masked_mse,parameter_count,runtime_seconds,seed
EV,DLinear,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,161.75174075365067,1.669018401855132,0.0394461452960968,0.3895736038684845,5.023322582244873,0.006778868630201029,0.0001753155680224404,0.5,0.01293103448275862,0.025210084033613443,47.1429328918457,60.898128509521484,13.797019958496094,93.68714904785156,3.2474210262298584,2654.173095703125,2.3212591608488053,83,10.345106083899736,20260727
EV,LSTM,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,163.11945522090664,1.6831310203883096,0.04266221448779106,0.39170852303504944,5.050851345062256,0.006778868630201029,0.0006428237494156148,0.18181818181818182,0.017241379310344827,0.031496062992125984,47.38993453979492,61.054019927978516,13.786073684692383,95.05487060546875,3.2948296070098877,2654.173095703125,2.39988875813341,5177,46.05593820801005,20260727
EV,TCN,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,163.84265353109527,1.6905932664344505,0.033687297254800797,0.39464983344078064,5.088778018951416,0.006778868630201029,0.0,0.0,0.0,0.0,47.65019607543945,61.559165954589844,13.908967971801758,95.77806854248047,3.319897174835205,2654.173095703125,2.3772604935028028,3801,129.8557065409841,20260727
EV,iTransformer,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,171.12198697743207,1.7657043064675793,0.03839007765054703,0.4136432111263275,5.333686351776123,0.006778868630201029,0.0009934548854604955,0.38235294117647056,0.05603448275862069,0.09774436090225565,45.912025451660156,59.149009704589844,13.294657707214355,103.05740356445312,3.572216510772705,2654.173095703125,2.372325466644754,13850,30.14496916695498,20260727
ChargerMatched,DLinear,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.6997001767158508,7.937816619873047,1.650862455368042,0.36231884057971014,0.8242753623188406,0.378021978021978,0.86,0.5251908396946565,16.438631057739258,17.316783905029297,7.748633861541748,29.1253604888916,1.0095548629760742,2654.173095703125,0.9123820955791171,83,0.19124616601038724,20260727
ChargerMatched,LSTM,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.7025696635246277,7.5831403732299805,1.5770989656448364,0.36231884057971014,1.0,0.36231884057971014,1.0,0.5319148936170213,11.59930419921875,10.301900863647461,7.343123912811279,22.923873901367188,0.7945963740348816,2654.173095703125,0.8416899103859864,5177,0.8234052080661058,20260727
ChargerMatched,TCN,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.6974771618843079,8.334437370300293,1.7333494424819946,0.36231884057971014,1.0,0.36231884057971014,1.0,0.5319148936170213,11.899438858032227,10.178169250488281,7.195580959320068,29.181066513061523,1.0114856958389282,2654.173095703125,0.8491347325208766,3801,2.1348726670257747,20260727
ChargerMatched,iTransformer,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.46449071168899536,10.62056827545166,2.208806037902832,0.36231884057971014,0.37318840579710144,0.5048543689320388,0.52,0.5123152709359606,28.146886825561523,34.530704498291016,10.358001708984375,47.76930236816406,1.6557985544204712,2654.173095703125,0.9222655020705524,13850,0.5472344580339268,20260727
ChargerMatched,GraphGNN,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.6825714111328125,7.867098331451416,1.6361548900604248,0.36231884057971014,1.0,0.36231884057971014,1.0,0.5319148936170213,11.858176231384277,9.963506698608398,6.9900712966918945,24.55005645751953,0.8509637713432312,2654.173095703125,0.8272222957056987,6181,0.5656705830479041,20260727
ChargerFull,DLinear,6,427,91,92,28,full_six_charger,1.0,33.513214111328125,0.34580257534980774,0.9453436732292175,11.557679176330566,0.7155401706695557,0.7898550724637681,0.9981884057971014,0.7894736842105263,0.9977064220183486,0.8814589665653495,10.380247116088867,8.781499862670898,6.491799831390381,33.513214111328125,0.34580257534980774,8916.1162109375,0.8434616650337781,83,0.18464537500403821,20260727
