task,model,entity_count,train_target_days,validation_target_days,test_target_days,context_days,comparison_scope,scope_energy_coverage,operational_daily_energy_mae_kwh,operational_daily_energy_wape,count_mae,energy_mae_kwh,energy_wape,actual_active_rate,predicted_active_rate,participation_precision,participation_recall,participation_f1,arrival_mae_slots,departure_mae_slots,dwell_mae_slots,aggregate_daily_energy_mae_kwh,aggregate_daily_energy_wape,scope_test_energy_kwh,validation_masked_mse,parameter_count,runtime_seconds,seed
EV,DLinear,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,161.70470632418343,1.6685330820190931,0.039436470717191696,0.389447957277298,5.021702766418457,0.006778868630201029,0.0001753155680224404,0.5,0.01293103448275862,0.025210084033613443,47.141937255859375,60.89848709106445,13.79670238494873,93.6401138305664,3.245790719985962,2654.173095703125,2.3212412782542464,83,8.959868208039552,20260728
EV,LSTM,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,170.69418514034024,1.7612900780016167,0.03877497836947441,0.4133402705192566,5.329780101776123,0.006778868630201029,8.76577840112202e-05,0.0,0.0,0.0,47.65019607543945,61.559165954589844,13.908967971801758,102.62959289550781,3.5573878288269043,2654.173095703125,2.4021216165407164,5177,28.833910375018604,20260728
EV,TCN,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,164.54085545695347,1.6977975899059539,0.03284156322479248,0.3958989679813385,5.104884624481201,0.006778868630201029,5.84385226741468e-05,0.0,0.0,0.0,47.65019607543945,61.559165954589844,13.908967971801758,96.47626495361328,3.3440985679626465,2654.173095703125,2.3719355437516696,3801,118.70043199998327,20260728
EV,iTransformer,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,170.99080123849538,1.7643506801552677,0.03686026483774185,0.4125092923641205,5.319065093994141,0.006778868630201029,0.00146096306685367,0.3,0.06465517241379311,0.10638297872340427,45.61347961425781,58.469032287597656,13.317131042480469,102.92621612548828,3.56766939163208,2654.173095703125,2.384308062809557,13850,28.654358792002313,20260728
ChargerMatched,DLinear,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.6001338958740234,9.632529258728027,2.003319263458252,0.36231884057971014,0.6557971014492754,0.38950276243093923,0.705,0.501779359430605,22.333114624023438,24.986406326293945,9.435519218444824,41.866966247558594,1.451209306716919,2654.173095703125,0.9376017503946904,83,0.16580887499731034,20260728
ChargerMatched,LSTM,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.6671974658966064,8.609302520751953,1.790514349937439,0.36231884057971014,0.9873188405797102,0.3651376146788991,0.995,0.5342281879194631,12.199145317077637,10.221199035644531,7.184893608093262,30.4473819732666,1.0553792715072632,2654.173095703125,0.8498312283790408,5177,0.7674677079776302,20260728
ChargerMatched,TCN,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.6633009910583496,7.943867206573486,1.65212082862854,0.36231884057971014,0.9438405797101449,0.3800383877159309,0.99,0.5492371705963939,11.789868354797363,10.525298118591309,7.391797065734863,26.319608688354492,0.912300705909729,2654.173095703125,0.8367028112145876,3801,1.8547842080006376,20260728
ChargerMatched,iTransformer,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.526757538318634,6.583159923553467,1.3691285848617554,0.36231884057971014,0.6286231884057971,0.4438040345821326,0.77,0.5630712979890311,19.616352081298828,23.220321655273438,8.284854888916016,20.80813217163086,0.7212597131729126,2654.173095703125,0.8528312964152347,13850,0.5204497500089929,20260728
ChargerMatched,GraphGNN,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.6446002125740051,7.009069919586182,1.4577069282531738,0.36231884057971014,0.9655797101449275,0.36585365853658536,0.975,0.5320600272851296,12.623373985290527,11.520136833190918,7.196401596069336,20.35312843322754,0.7054882049560547,2654.173095703125,0.8243724072397237,6181,0.5569867920130491,20260728
ChargerFull,DLinear,6,427,91,92,28,full_six_charger,1.0,38.86932373046875,0.4010689854621887,0.9250339269638062,12.356000900268555,0.7649646401405334,0.7898550724637681,0.9746376811594203,0.7881040892193308,0.9724770642201835,0.8706365503080082,10.417819023132324,9.616127014160156,6.90997838973999,38.86932373046875,0.4010689854621887,8916.1162109375,0.8735057682185978,83,0.16242529195733368,20260728
