Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
2023-07-01,0.0,0.0,0.0,0.0,0.0,6.6,6.6,0.02,6.6,6.6,13.2,10.148,6.6,6.6,6.6,6.6,13.2,19.8,13.2,26.4,26.4,19.724,26.4,19.8,13.2,26.4,26.4,33.0,39.6,36.9422,43.496,46.2,45.6178,52.8,58.768,65.8535,65.6811,65.8535,58.4585,59.78,60.572,64.6815,65.8535,65.8535,65.8535,65.8535,65.8535,65.8535,60.884,60.884,60.884,52.9481,52.9481,52.9481,52.9481,52.9481,52.9481,52.9481,52.9481,52.9481,52.9481,43.3663,43.3663,43.3663,43.3663,43.3663,43.3663,43.3663,36.1799,36.1799,36.1799,36.1799,36.1799,36.1799,36.1799,36.1799,36.1799,36.1799,36.1799,36.1799,31.1326,29.2651,29.2651,29.2651,33.0,33.0,33.0,29.532,20.344,13.2,13.2,6.6,6.6,6.6,6.6,0.0
2023-07-02,0.0,0.0,6.6,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,19.8,19.8,19.436,6.6,15.74,19.8,19.8,24.04,26.4,38.8692,53.5308,60.18,60.9108,60.9108,60.9108,60.9108,60.9108,60.9108,60.9108,60.9108,60.9108,60.9107,60.9108,60.9108,60.9107,60.9108,60.9107,60.9108,60.9107,60.9108,60.9108,60.9108,60.7058,60.7058,54.2708,54.2708,54.2708,50.159,48.4524,44.0352,44.0352,44.0352,44.0352,44.0352,44.0352,44.0352,44.0352,44.0352,44.0352,44.0352,44.0352,40.88,39.6,36.402,36.402,36.402,36.402,31.452,31.452,29.5973,28.6427,24.0293,24.0293,24.0293,35.1653,35.1653,35.1653,30.552,21.192,21.192,21.192,13.2,13.2,6.6,0.0,0.0
2023-07-03,0.0,0.0,6.6,13.2,13.2,13.2,12.416,6.6,6.6,6.6,6.6,13.2,0.0,6.6,0.0,6.6,0.0,13.2,0.0,13.2,13.2,13.144,13.2,39.6,39.6,55.8618,80.016,92.4,123.7,171.6,215.208,239.66,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,242.1182,238.3453,231.7803,208.0394,208.0394,207.9582,204.9232,182.8835,182.8835,144.3292,144.3292,144.3292,144.3292,144.3292,128.0276,128.0276,128.0276,128.0276,128.0276,128.0276,99.0,96.342,96.342,79.2,76.772,76.7056,76.7056,76.7056,58.052,52.8,35.504,35.1896,33.168,33.0,37.2952,37.2952,31.268,19.8,7.392,6.6,6.6,6.6,3.894,3.894,0.0,0.0
