Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
2023-07-01,0.0,0.0,0.0,4.2535,4.2535,5.3967,5.3967,5.3967,5.3967,5.3967,5.3967,7.2277,7.2277,7.2277,7.2277,7.2277,7.2277,12.1171,12.1171,12.1171,12.1171,12.1171,12.1171,12.1171,12.1171,12.1171,12.1171,13.0371,18.2683,21.0326,21.0326,22.6036,22.6036,27.5435,26.6143,41.5513,42.7859,44.8831,44.8831,44.8831,51.1528,56.6401,56.6401,53.1947,57.698,57.262,59.7393,59.7393,59.7393,58.412,64.711,69.9149,69.9149,75.1038,81.7038,81.7038,73.2999,79.956,77.976,77.976,66.6946,70.343,61.6658,61.3141,61.8047,61.8047,61.8047,62.584,43.496,42.1704,42.1704,42.1704,45.7469,45.7469,45.7469,41.242,41.242,39.6,39.6,39.6,29.868,29.6867,29.6867,29.6867,33.1813,33.1813,33.1813,36.132,26.4,13.2,13.2,6.6,6.6,6.6,6.6,0.0
2023-07-02,0.0,0.0,2.9404,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,4.4235,6.9955,6.9955,6.9955,6.9955,8.8173,9.7343,9.7343,10.0272,12.6083,12.6083,18.5409,19.0231,22.556,27.6922,27.6922,30.8999,30.8999,37.0123,38.7537,38.7537,42.7305,52.6116,57.2157,61.5823,72.9399,74.4386,74.4386,74.4386,70.4457,69.8171,69.8171,59.4,60.0633,65.4521,65.8181,66.1607,77.9277,77.9277,77.5537,72.6164,72.6164,55.0057,66.273,66.273,66.273,67.6864,67.6864,74.5261,74.5261,83.7741,72.6,66.348,59.4,52.044,48.452,46.2,46.2,38.052,38.052,33.0,29.442,25.8427,25.8427,25.8427,34.1513,34.1513,34.1513,30.552,21.192,21.192,21.192,13.2,13.2,6.6,0.0,0.0
2023-07-03,0.0,0.0,2.9351,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,6.4888,15.5773,20.9389,27.2172,31.1459,34.0895,56.9628,78.4885,84.5465,88.5061,101.6269,118.6538,136.8479,144.2091,162.026,176.3635,188.9862,206.2545,226.4683,224.4,238.4641,252.3197,254.333,247.993,248.536,259.9364,256.328,260.1847,265.4833,265.4833,265.4833,253.1,254.592,263.2533,279.35,275.236,271.972,235.8641,242.2811,235.4425,240.7825,214.1582,181.1901,181.1901,178.3387,184.2987,184.2987,165.0,120.172,109.542,109.542,86.372,83.372,79.896,79.896,79.2,60.236,59.4,35.504,35.1896,31.9892,31.9892,38.39,38.39,31.268,19.8,7.392,6.6,6.6,6.6,3.894,3.894,0.0,0.0
