Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
2023-07-01,0.0,0.0,0.0,4.112,5.3828,13.2,13.2,13.2,13.2,13.2,13.2,19.8,19.8,19.8,13.2,13.2,13.2,26.4,26.4,26.4,23.348,19.8,19.8,26.4,14.4172,19.8,15.612,19.8,30.5547,36.0093,39.6,39.6,36.264,33.0,46.2,71.376,66.0,68.096,62.104,56.692,53.972,59.4,68.368,66.0,71.72,72.6,88.812,88.992,73.148,91.764,97.12,87.144,87.156,83.9,71.936,66.0,58.296,59.008,44.512,38.108,37.256,42.768,46.2,54.168,66.0,57.176,28.76,26.516,24.056,22.984,19.8,19.8,27.872,26.4,26.4,26.4,26.4,26.4,21.848,19.8,26.4,13.1765,7.873,2.2545,26.4,26.4,25.212,22.932,19.8,6.6,6.6,0.0,0.0,0.0,0.0,0.0
2023-07-02,0.0,0.0,6.6,6.6,13.2,0.0,12.836,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,19.8,19.8,19.8,19.8,22.34,19.8,19.8,26.4,37.24,33.0,48.96,57.42,64.092,70.556,59.4,68.644,55.996,69.68,60.744,58.34,65.356,82.632,88.356,85.8,99.82,79.988,51.828,48.544,32.764,55.196,49.9,52.8,57.252,45.656,48.676,62.288,79.2,74.124,65.904,59.4,54.224,40.244,46.2,46.2,44.896,40.56,38.808,41.82,33.0,49.876,34.604,26.4,36.056,36.563,35.4126,42.0844,26.4,46.2,45.264,38.952,23.5511,13.5324,10.2348,0.0,22.0598,18.7398,16.6483,15.129,13.9087,12.5227,11.2625,10.763,9.7639,6.6,0.0,0.0
2023-07-03,0.0,0.0,6.6,6.648,13.2,13.2,13.2,6.6,6.6,0.0,6.6,6.6,13.2,12.416,6.6,13.2,6.6,6.6,6.6,13.2,13.2,19.8,19.8,46.2,59.4,64.508,85.8,99.0,123.12,162.428,178.26,208.608,239.336,258.2316,265.0985,268.9473,276.7245,280.3013,282.3336,288.8549,296.1254,294.1167,305.3313,309.2981,306.9157,313.4776,312.1574,314.2768,146.77,147.9574,148.908,145.9305,146.7194,153.2943,151.3075,151.2589,152.1753,151.3149,166.0869,169.84,170.758,154.1218,159.0339,158.2483,130.0454,132.633,129.2195,122.9438,117.6752,109.5912,101.9254,93.4316,85.9623,83.4557,79.9668,71.8392,66.0433,60.7718,55.8977,49.7114,48.5963,25.3699,19.7121,13.9765,39.0158,33.5717,26.8646,19.8,8.5311,7.0963,6.0305,6.0305,3.6458,3.6458,0.0,0.0
