Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
2023-07-01,0.0,0.0,0.0,6.6,6.6,13.2,13.2,13.2,13.2,13.2,13.2,19.8,19.8,19.8,19.8,19.8,19.8,26.4,23.348,19.8,19.8,19.8,19.8,17.312,13.2,19.8,15.612,26.4,33.0,39.62,39.6,46.2,42.864,39.6,46.0799,57.6857,57.1937,56.578,54.8026,57.3409,59.0335,59.4,56.6265,53.1256,53.2318,52.6425,61.4924,65.6389,45.1034,48.5126,53.1598,56.9603,55.4429,53.4697,56.9495,48.3517,49.7705,58.6689,57.6929,59.5749,52.9687,49.4009,49.8372,54.541,54.1586,53.0348,53.0348,56.2188,39.6,38.2398,35.3192,33.4019,41.3585,39.7145,38.5394,38.5394,38.5394,38.5394,38.5394,38.5394,31.3643,29.7274,29.2191,28.1827,33.0,33.0,33.0,29.532,19.8,6.6,6.6,0.0,0.0,0.0,0.0,0.0
2023-07-02,0.0,0.0,6.6,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,19.8,19.8,19.436,9.14,13.2,19.8,19.8,26.4,37.24,33.0,48.96,51.8463,56.4955,56.622,54.0004,47.6183,47.8985,54.354,53.8261,51.9823,53.2745,59.1012,55.9208,53.1143,58.3858,59.212,54.3082,60.3106,46.349,58.4312,57.0867,55.0477,53.227,52.5832,47.3871,43.4462,58.6602,55.8408,59.8828,61.7418,58.1776,43.885,53.2812,52.4891,50.6789,50.9379,50.9379,56.3406,56.3406,65.5886,52.8,44.072,40.0987,40.0987,40.0987,39.6,39.6,31.452,31.452,29.727,28.9006,25.464,24.3685,24.3685,34.3318,34.3318,34.3318,30.552,21.192,21.192,21.192,13.2,13.2,6.6,0.0,0.0
2023-07-03,0.0,0.0,6.6,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,6.648,6.6,6.6,6.6,6.6,6.6,6.6,13.2,13.2,38.816,52.8,64.508,85.8,99.0,123.12,162.428,173.6153,172.6052,177.2523,186.1241,193.5249,196.0398,204.2313,209.182,206.2624,211.5033,222.2043,222.6888,237.0934,242.6446,236.8119,245.5293,243.8256,250.1959,241.3979,229.5588,232.8752,222.2824,225.8932,222.9471,222.7537,204.1675,230.1482,188.0429,207.4185,161.8612,182.1023,186.7147,191.3237,168.6926,157.8162,157.8162,157.6791,163.6391,163.6391,153.212,112.2,102.942,102.942,85.8,81.5919,79.896,79.896,79.2,58.052,52.8,33.5646,33.3743,28.3586,28.3586,38.39,38.39,31.268,19.8,7.392,6.6,6.6,6.6,3.894,3.894,0.0,0.0
