Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
2023-07-01,0.0,0.0,0.0,6.6,6.6,0.0,0.0,0.0,0.0,6.6,6.6,16.748,6.6,6.6,13.2,6.6,6.6,26.4,26.4,13.2,26.4,23.912,26.4,26.4,19.8,22.212,26.4,33.0,33.0,33.02,52.8,46.2,59.4,35.096,33.0,92.6167,84.576,72.6,62.104,56.692,53.972,66.0,74.968,66.0,75.3113,72.6,82.212,82.392,73.148,91.764,97.12,87.144,87.156,83.9,65.412,52.8,51.696,52.408,51.112,38.032,37.256,42.768,46.2,54.168,59.516,50.576,28.76,33.0,24.056,22.984,26.4,26.4,34.472,31.9176,27.4824,26.4,26.4,26.4,21.848,19.8,17.2659,11.6002,10.279,10.279,26.4,26.4,25.492,23.5636,19.1684,6.6,6.6,0.0,0.0,0.0,0.0,0.0
2023-07-02,0.0,0.0,0.0,8.776,0.0,13.2,13.2,13.2,13.2,6.6,6.6,13.2,13.2,13.2,8.8292,6.6,13.2,6.6,13.2,13.2,6.6,13.2,10.9708,6.6,26.4,33.0,31.5737,26.4,46.2,43.84,56.9863,64.02,69.5321,69.6674,59.4,68.6751,62.1894,72.104,60.744,58.34,65.356,79.6761,80.2581,79.8858,82.2168,80.6751,72.4677,55.144,39.364,55.2404,49.9,52.8,57.252,45.656,48.676,62.288,79.2,74.124,65.904,59.4,52.9967,41.4713,46.2,46.2,44.896,40.2418,36.6701,40.6017,33.4361,44.1945,39.152,26.4,36.056,39.6,36.712,37.748,26.4,38.5511,35.7657,27.9579,19.1672,12.7793,8.043,0.0,34.8057,30.9156,24.7668,19.0049,15.2284,12.8469,11.0238,11.0238,11.0238,6.6,0.0,0.0
2023-07-03,0.0,0.0,0.0,6.6,13.2,13.2,6.6,13.2,0.0,0.0,13.2,0.0,0.0,6.6,0.0,6.6,6.6,6.6,12.416,13.2,6.6,19.8,13.2,33.0,39.6,71.788,72.6,92.448,132.5489,198.0,218.488,221.6991,239.336,274.4676,281.2816,282.5892,283.4436,284.7005,285.965,288.5523,285.4795,280.9981,282.8958,282.2559,278.7239,284.2899,282.9546,284.6396,280.0742,273.7896,273.5289,259.7753,247.5807,237.81,221.556,213.4996,206.925,174.083,156.58,138.0671,132.0248,121.9857,110.9687,100.0662,93.7402,95.4149,91.5976,86.1176,81.8419,73.2138,65.9684,58.1046,51.3791,50.0769,49.6603,42.1374,38.7305,36.9464,35.2239,31.8113,35.6445,25.5159,13.412,5.0766,36.7024,31.6964,26.0387,16.3324,13.0672,7.788,9.7014,4.4233,0.0,0.0,0.0,0.0
