date,task,model,anchor_slot,actual_lower_kwh,actual_upper_kwh,actual_occupied_equivalent,raw_predicted_lower_kwh,raw_predicted_upper_kwh,predicted_lower_kwh,predicted_upper_kwh,predicted_occupied_equivalent,seed
2023-07-01,EV,SeasonalNaive,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260730
2023-07-01,EV,SeasonalNaive,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260730
2023-07-01,EV,SeasonalNaive,64,0.0,8.269000053405762,0.6875,0.0,0.0,0.0,0.0,0.0,20260730
2023-07-01,EV,SeasonalNaive,80,0.0,8.269000053405762,1.0,0.0,0.0,0.0,0.0,0.0,20260730
2023-07-01,EV,SeasonalNaive,84,1.6690000295639038,8.269000053405762,1.0,0.0,0.0,0.0,0.0,0.0,20260730
2023-07-01,EV,SeasonalNaive,96,8.269000053405762,8.269000053405762,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,20260730
2023-07-02,EV,SeasonalNaive,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260730
2023-07-02,EV,SeasonalNaive,48,0.0,0.0,0.0,0.8190000057220459,0.8190000057220459,0.8190000057220459,0.8190000057220459,0.0625,20260730
2023-07-02,EV,SeasonalNaive,64,0.0,0.0,0.0,8.017000198364258,8.017000198364258,8.017000198364258,8.017000198364258,0.375,20260730
2023-07-02,EV,SeasonalNaive,80,14.317999839782715,18.149999618530273,0.6875,8.017000198364258,8.017000198364258,8.017000198364258,8.017000198364258,0.0,20260730
2023-07-02,EV,SeasonalNaive,84,20.917999267578125,24.75,1.0,8.017000198364258,8.017000198364258,8.017000198364258,8.017000198364258,0.0,20260730
2023-07-02,EV,SeasonalNaive,96,25.868000030517578,25.868000030517578,0.25,8.017000198364258,8.017000198364258,8.017000198364258,8.017000198364258,0.0,20260730
2023-07-03,EV,SeasonalNaive,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260730
2023-07-03,EV,SeasonalNaive,48,0.0,8.196000099182129,0.375,0.0,5.919000148773193,0.0,5.919000148773193,0.5625,20260730
2023-07-03,EV,SeasonalNaive,64,21.006000518798828,30.029998779296875,2.0,5.919000148773193,5.919000148773193,5.919000148773193,5.919000148773193,0.25,20260730
2023-07-03,EV,SeasonalNaive,80,41.68299865722656,41.68299865722656,1.3125,5.919000148773193,5.919000148773193,5.919000148773193,5.919000148773193,0.0,20260730
2023-07-03,EV,SeasonalNaive,84,41.68299865722656,41.68299865722656,0.0,5.919000148773193,5.919000148773193,5.919000148773193,5.919000148773193,0.0,20260730
2023-07-03,EV,SeasonalNaive,96,41.68299865722656,41.68299865722656,0.0,5.919000148773193,5.919000148773193,5.919000148773193,5.919000148773193,0.0,20260730
2023-07-04,EV,SeasonalNaive,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260730
2023-07-04,EV,SeasonalNaive,48,0.0,0.0,0.0,0.029999999329447746,1.649999976158142,0.029999999329447746,1.649999976158142,0.0625,20260730
2023-07-04,EV,SeasonalNaive,64,0.0,0.0,0.0,24.493000030517578,26.43000030517578,24.493000030517578,26.43000030517578,1.0,20260730
2023-07-04,EV,SeasonalNaive,80,0.0,0.0,0.0,31.093000411987305,32.20100021362305,31.093000411987305,32.20100021362305,0.75,20260730
2023-07-04,EV,SeasonalNaive,84,0.0,0.0,0.0,32.20100021362305,32.20100021362305,32.20100021362305,32.20100021362305,0.5,20260730
2023-07-04,EV,SeasonalNaive,96,0.0,0.0,0.0,32.20100021362305,32.20100021362305,32.20100021362305,32.20100021362305,0.0,20260730
