task,model,comparison_scope,entity_count,train_target_days,validation_target_days,test_target_days,context_days,anchor_slots,scope_energy_coverage,operational_terminal_energy_mae_kwh,operational_terminal_energy_wape,raw_valid_signature_rate,projected_valid_signature_rate,projection_mean_absolute_adjustment,aggregate_lower_curve_mae_kwh,aggregate_upper_curve_mae_kwh,aggregate_occupied_equivalent_mae,aggregate_terminal_energy_mae_kwh,aggregate_terminal_energy_wape,aggregate_flexibility_width_mae_kwh,scope_test_energy_kwh,actual_active_rate,predicted_active_rate,participation_precision,participation_recall,participation_f1,raw_aggregate_lower_curve_mae_kwh,raw_aggregate_upper_curve_mae_kwh,raw_aggregate_occupied_equivalent_mae,raw_aggregate_terminal_energy_mae_kwh,raw_aggregate_terminal_energy_wape,raw_aggregate_flexibility_width_mae_kwh,validation_weighted_mse,epochs_completed,parameter_count,runtime_seconds,seed
EV,SeasonalNaive,matched_recurring_ev,314,427,91,92,28,32;48;64;80;84;96,0.2975478049618916,90.95027923583984,0.9422208070755005,1.0,1.0,3.7368677596738564e-11,16.297040939331055,17.45354461669922,0.38352957367897034,23.144285202026367,0.805815577507019,2.31253981590271,2642.384033203125,0.00792716698975353,0.007304070894489061,0.13270142180094788,0.1222707423580786,0.1272727272727273,16.297040939331055,17.45354461669922,0.38352957367897034,23.144285202026367,0.805815577507019,2.31253981590271,nan,0,0,0.6792259170001671,20260730
EV,iTransformer,matched_recurring_ev,314,427,91,92,28,32;48;64;80;84;96,0.2975478049618916,144.1232452392578,1.493078589439392,0.0,1.0,0.0037130950950086117,45.26206588745117,50.641357421875,1.3701637983322144,76.31723022460938,2.6571402549743652,6.033313751220703,2642.384033203125,0.00792716698975353,0.08969122126834672,0.05171748359706677,0.5851528384279476,0.09503546099290781,45.352169036865234,49.82365417480469,1.3617388010025024,77.72093963623047,2.7060132026672363,6.939279079437256,2.7722558351265634,6,14331,65.85578666699985,20260730
EV,FeasibleITransformer,matched_recurring_ev,314,427,91,92,28,32;48;64;80;84;96,0.2975478049618916,130.18914794921875,1.3487250804901123,1.0,1.0,0.0,33.22997283935547,39.203556060791016,1.6239221096038818,62.38308334350586,2.17199444770813,7.203207492828369,2642.384033203125,0.00792716698975353,0.06836748823040709,0.05721518987341772,0.49344978165938863,0.10254083484573502,33.22997283935547,39.203556060791016,1.6239221096038818,62.38308334350586,2.17199444770813,7.203207492828369,2.8415588577095834,6,14331,65.6408302079999,20260730
ChargerMatched,SeasonalNaive,matched_recurring_ev,6,427,91,92,28,32;48;64;80;84;96,0.2975478049618916,nan,nan,1.0,1.0,2.1715862441595846e-09,16.297040939331055,17.45354461669922,0.38352957367897034,23.144285202026367,0.805815577507019,2.31253981590271,2642.384033203125,0.358695652173913,0.34057971014492755,0.46808510638297873,0.4444444444444444,0.45595854922279794,16.297040939331055,17.45354461669922,0.38352957367897034,23.144285202026367,0.805815577507019,2.31253981590271,nan,0,0,0.013574874999903841,20260730
ChargerMatched,iTransformer,matched_recurring_ev,6,427,91,92,28,32;48;64;80;84;96,0.2975478049618916,nan,nan,0.0,1.0,1.4934548139572144,16.26605224609375,17.173233032226562,0.44435736536979675,22.633031845092773,0.7880153059959412,2.4409055709838867,2642.384033203125,0.358695652173913,0.9855072463768116,0.35294117647058826,0.9696969696969697,0.5175202156334232,20.71575164794922,21.693859100341797,0.49920719861984253,24.160846710205078,0.8412092328071594,22.943458557128906,1.2783932083702738,6,14331,1.272271875000115,20260730
ChargerMatched,FeasibleITransformer,matched_recurring_ev,6,427,91,92,28,32;48;64;80;84;96,0.2975478049618916,nan,nan,1.0,1.0,0.0,15.531968116760254,16.405988693237305,0.6104210019111633,23.869091033935547,0.8310511708259583,3.002034902572632,2642.384033203125,0.358695652173913,1.0,0.358695652173913,1.0,0.5279999999999999,15.531968116760254,16.405988693237305,0.6104210019111633,23.869091033935547,0.8310511708259583,3.002034902572632,1.2587469952279164,6,14331,1.276079624999511,20260730
ChargerFull,SeasonalNaive,full_six_charger,6,427,91,92,28,32;48;64;80;84;96,1.0,36.67548751831055,0.37994834780693054,1.0,1.0,6.72471900386995e-09,25.501800537109375,27.562664031982422,0.6143946051597595,36.67548751831055,0.37994834780693054,5.438347339630127,8880.5361328125,0.7862318840579711,0.7789855072463768,0.8209302325581396,0.8133640552995391,0.8171296296296297,25.501800537109375,27.562664031982422,0.6143946051597595,36.67548751831055,0.37994834780693054,5.438347339630127,nan,0,0,0.01373775000047317,20260730
ChargerFull,iTransformer,full_six_charger,6,427,91,92,28,32;48;64;80;84;96,1.0,34.70517349243164,0.35953640937805176,0.0,1.0,1.4953827857971191,24.31633758544922,25.970441818237305,0.5807782411575317,34.70517349243164,0.35953640937805176,5.996870517730713,8880.5361328125,0.7862318840579711,1.0,0.7862318840579711,1.0,0.8803245436105477,25.634204864501953,29.43472671508789,0.6007055044174194,30.78601837158203,0.31893500685691833,25.940807342529297,1.5388020439558132,6,14331,1.2575478749995455,20260730
ChargerFull,FeasibleITransformer,full_six_charger,6,427,91,92,28,32;48;64;80;84;96,1.0,29.674243927001953,0.3074173033237457,1.0,1.0,0.0,21.273923873901367,23.41327667236328,0.593718409538269,29.674243927001953,0.3074173033237457,5.760337829589844,8880.5361328125,0.7862318840579711,1.0,0.7862318840579711,1.0,0.8803245436105477,21.273923873901367,23.41327667236328,0.593718409538269,29.674243927001953,0.3074173033237457,5.760337829589844,1.5908396862399194,6,14331,1.273687584000072,20260730
