model,seeds,ev_matched_daily_mae_kwh,ev_matched_daily_mae_sd_kwh,charger_matched_daily_mae_kwh,charger_matched_daily_mae_sd_kwh,charger_reduction_pct,paired_ev_minus_charger_mae_kwh,paired_block_ci_low_kwh,paired_block_ci_high_kwh,ev_operational_no_substitution_wape,scope_energy_coverage
SeasonalNaive,1,23.198217391967773,0.0,23.198217391967773,0.0,0.0,1.865884531519938e-07,-4.1464100724900155e-07,5.810157112786287e-07,0.9416856979621476,0.2976826545858962
Ridge,1,95.243896484375,0.0,21.165340423583984,0.0,77.7777461812934,74.07855450588724,70.20356421807537,79.57078309214634,1.6850814897997188,0.2976826545858962
HurdleRidge,1,1268.987060546875,0.0,16.52496910095215,0.0,98.69778269497637,1252.4621300852816,1228.4762916295426,1279.2935253763976,13.796227809500309,0.2976826545858962
DLinear,3,93.64054361979167,0.046392026605924716,39.374146143595375,9.257612032567023,57.95181806775272,54.26639642922775,51.4184905871101,57.5152238364669,1.6685374741125318,0.2976826545858962
LSTM,3,103.18773651123047,8.425813866903457,29.98202959696452,6.837366827380753,70.94419297229044,73.20570476504341,68.78993211621822,78.6495367694592,1.7670491550106577,0.2976826545858962
TCN,3,96.73533884684245,1.1097249489805605,26.101633707682293,3.194003569390418,73.0174783912133,70.63370117933854,66.36041196411934,76.07463993870694,1.7004707418761544,0.2976826545858962
iTransformer,3,97.90877532958984,8.804318383026304,30.196318944295246,15.230539936515154,69.15872061248288,67.71245342579441,61.865805997062424,74.79079573897347,1.7125787580220113,0.2976826545858962
