minimum_training_sessions,eligible_training_drivers,test_energy_coverage,test_session_coverage,covered_test_energy_kwh,total_test_energy_kwh,covered_test_sessions,total_test_sessions,unseen_or_ineligible_energy_kwh
1,1230,0.4150316589680588,0.40514075887392903,3700.47,8916.115000000014,331,817,5215.645000000015
2,541,0.35217143341017865,0.33414932680538556,3140.001,8916.115000000014,273,817,5776.114000000014
3,372,0.2976826790592086,0.29253365973072215,2654.173,8916.115000000014,239,817,6261.942000000015
4,275,0.24722628633659355,0.2607099143206854,2204.2980000000002,8916.115000000014,213,817,6711.817000000014
6,169,0.19735624764821869,0.20195838433292534,1759.651,8916.115000000014,165,817,7156.4640000000145
8,122,0.16554766285540257,0.1799265605875153,1476.042,8916.115000000014,147,817,7440.073000000015
12,66,0.09419708023057113,0.11260709914320685,839.8720000000001,8916.115000000014,92,817,8076.243000000014
24,18,0.019590931700634154,0.03916768665850673,174.67499999999998,8916.115000000014,32,817,8741.440000000015
