model,seeds,full_daily_mae_kwh,full_daily_mae_sd_kwh,full_energy_wape,participation_f1
DLinear,3,42.03576151529948,10.471210943395636,0.4337415595849355,0.8781494860166094
GraphGNN,3,30.400296529134113,1.483429028146918,0.31368224819501234,0.8825910931174089
HurdleRidge,1,38.64484405517578,0.0,0.3987527191638946,0.8584269662921349
LSTM,3,33.380839029947914,1.1367841612349732,0.34443665544192,0.8825910931174089
Ridge,1,29.59022521972656,0.0,0.3053236007690429,0.8781985670419652
SeasonalNaive,1,36.89152145385742,0.0,0.3806612491607666,0.8170310701956272
TCN,3,33.45311737060547,2.161616368767374,0.34518245855967206,0.8825910931174089
iTransformer,3,39.23407554626465,13.826493747344387,0.404832661151886,0.8748213490058045
