metric,ev_physics_mae,ev_physics_sd,charger_physics_mae,charger_physics_sd,charger_reduction_vs_ev_pct,ev_minus_charger_block_ci_low,ev_minus_charger_block_ci_high,seasonal_matched_mae,charger_reduction_vs_seasonal_pct
terminal,68.73580551147461,6.865712120400321,21.177570343017578,2.540841017792197,69.18990010310966,42.48300977617069,53.06604135623878,23.144285202026367,8.497626268607318
lower,36.73486582438151,4.313515645085375,14.432295163472494,0.9789671177696032,60.71226928534593,18.558236277708335,26.143273031667487,16.297040939331055,11.442235328489657
upper,42.61978403727213,3.7394177287127333,15.31218687693278,0.9794521912166546,64.07258454537953,23.1226590041683,31.68247147466321,17.45354461669922,12.268898878670349
