task,model,seeds,entity_count,scope_test_energy_kwh,scope_energy_coverage,raw_valid_signature_rate,projected_valid_signature_rate,parameter_count,runtime_seconds_mean,projection_adjustment_mean,terminal_mae_mean,terminal_mae_sd,lower_mae_mean,lower_mae_sd,upper_mae_mean,upper_mae_sd,width_mae_mean,width_mae_sd,occupancy_mae_mean,occupancy_mae_sd
ChargerFull,FeasibleITransformer,3,6,8880.5361328125,1.0,1.0,1.0,14331,1.2723398616669026,0.0,33.42678006490072,4.837955077223694,24.569441477457683,4.060223741854189,26.19171078999837,3.127468668900384,5.42965030670166,0.42692155092991146,0.6634271939595541,0.08924668354752599
ChargerFull,SeasonalNaive,1,6,8880.5361328125,1.0,1.0,1.0,0,0.0137377500004731,6.724719003869951e-09,36.67548751831055,0.0,25.501800537109375,0.0,27.562664031982425,0.0,5.438347339630127,0.0,0.6143946051597595,0.0
ChargerFull,iTransformer,1,6,8880.5361328125,1.0,0.0,1.0,14331,1.2575478749995457,1.4953827857971191,34.70517349243164,0.0,24.31633758544922,0.0,25.970441818237305,0.0,5.996870517730713,0.0,0.5807782411575317,0.0
ChargerMatched,FeasibleITransformer,3,6,2642.384033203125,0.2975478049618916,1.0,1.0,14331,1.2640831250000701,0.0,21.177570343017578,2.540841017792197,14.432295163472494,0.9789671177696032,15.31218687693278,0.9794521912166546,2.8547444343566895,0.5351308954767597,0.6913007895151774,0.08827087066351605
ChargerMatched,SeasonalNaive,1,6,2642.384033203125,0.2975478049618916,1.0,1.0,0,0.0135748749999038,2.1715862441595846e-09,23.144285202026367,0.0,16.297040939331055,0.0,17.45354461669922,0.0,2.31253981590271,0.0,0.3835295736789703,0.0
ChargerMatched,iTransformer,1,6,2642.384033203125,0.2975478049618916,0.0,1.0,14331,1.272271875000115,1.4934548139572144,22.633031845092773,0.0,16.26605224609375,0.0,17.173233032226562,0.0,2.4409055709838867,0.0,0.4443573653697967,0.0
EV,FeasibleITransformer,3,314,2642.384033203125,0.2975478049618916,1.0,1.0,14331,66.05206209699993,0.0,68.73580551147461,6.865712120400321,36.73486582438151,4.313515645085375,42.61978403727213,3.7394177287127333,7.274308522542317,0.9407087858498177,1.8529173135757446,0.2196264035972425
EV,SeasonalNaive,1,314,2642.384033203125,0.2975478049618916,1.0,1.0,0,0.6792259170001671,3.736867759673856e-11,23.144285202026367,0.0,16.297040939331055,0.0,17.45354461669922,0.0,2.31253981590271,0.0,0.3835295736789703,0.0
EV,iTransformer,1,314,2642.384033203125,0.2975478049618916,0.0,1.0,14331,65.85578666699985,0.0037130950950086,76.31723022460938,0.0,45.26206588745117,0.0,50.641357421875,0.0,6.033313751220703,0.0,1.3701637983322144,0.0
