date,task,model,anchor_slot,actual_lower_kwh,actual_upper_kwh,actual_occupied_equivalent,raw_predicted_lower_kwh,raw_predicted_upper_kwh,predicted_lower_kwh,predicted_upper_kwh,predicted_occupied_equivalent,seed
2023-07-01,EV,Ridge,32,0.0,0.0,0.0,1.2234563827514648,2.418898582458496,1.270639419555664,2.4264538288116455,0.12675318121910095,20260730
2023-07-01,EV,Ridge,48,0.0,0.0,0.0,5.748956203460693,5.062275409698486,4.136200904846191,5.0689921379089355,0.3744255304336548,20260730
2023-07-01,EV,Ridge,64,0.0,0.0,0.0,7.538445949554443,6.23539924621582,6.400594234466553,8.600030899047852,0.41926953196525574,20260730
2023-07-01,EV,Ridge,80,0.0,0.0,0.0,7.201651096343994,7.4126458168029785,10.383378982543945,10.572222709655762,0.45668524503707886,20260730
2023-07-01,EV,Ridge,84,0.0,0.0,0.0,7.257782936096191,7.66237735748291,10.420930862426758,10.597895622253418,0.41649189591407776,20260730
2023-07-01,EV,Ridge,96,0.0,0.0,0.0,7.030344486236572,7.030344486236572,10.597895622253418,10.597895622253418,0.16077971458435059,20260730
2023-07-02,EV,Ridge,32,0.0,0.0,0.0,0.7075855731964111,0.533419132232666,0.5377193689346313,1.2453938722610474,0.04431042820215225,20260730
2023-07-02,EV,Ridge,48,0.0,0.0,0.0,2.1844842433929443,5.224042892456055,2.1769800186157227,5.584738731384277,0.4123114347457886,20260730
2023-07-02,EV,Ridge,64,0.0,0.0,0.0,10.09566593170166,14.259553909301758,9.594001770019531,12.791542053222656,0.8511548638343811,20260730
2023-07-02,EV,Ridge,80,0.0,0.0,0.0,16.111370086669922,16.300081253051758,16.661718368530273,17.232240676879883,0.543200671672821,20260730
2023-07-02,EV,Ridge,84,0.0,0.0,0.0,15.71481990814209,15.982220649719238,16.70476531982422,17.388484954833984,0.35382333397865295,20260730
2023-07-02,EV,Ridge,96,0.0,0.0,0.0,16.523841857910156,16.523841857910156,17.431522369384766,17.431522369384766,0.16821567714214325,20260730
2023-07-03,EV,Ridge,32,0.0,0.0,0.0,0.2227611094713211,0.3806941509246826,0.08880171924829483,1.0400586128234863,0.05163154378533363,20260730
2023-07-03,EV,Ridge,48,0.0,0.0,0.0,7.905791282653809,12.25078296661377,7.574024200439453,12.021490097045898,0.9813895225524902,20260730
2023-07-03,EV,Ridge,64,3.684000015258789,5.334000110626221,0.375,15.715092658996582,16.748779296875,14.7402925491333,16.594745635986328,0.6891348958015442,20260730
