task,model,comparison_scope,entity_count,train_target_days,validation_target_days,test_target_days,context_days,anchor_slots,scope_energy_coverage,operational_terminal_energy_mae_kwh,operational_terminal_energy_wape,raw_valid_signature_rate,projected_valid_signature_rate,projection_mean_absolute_adjustment,aggregate_lower_curve_mae_kwh,aggregate_upper_curve_mae_kwh,aggregate_occupied_equivalent_mae,aggregate_terminal_energy_mae_kwh,aggregate_terminal_energy_wape,aggregate_flexibility_width_mae_kwh,scope_test_energy_kwh,actual_active_rate,predicted_active_rate,participation_precision,participation_recall,participation_f1,raw_aggregate_lower_curve_mae_kwh,raw_aggregate_upper_curve_mae_kwh,raw_aggregate_occupied_equivalent_mae,raw_aggregate_terminal_energy_mae_kwh,raw_aggregate_terminal_energy_wape,raw_aggregate_flexibility_width_mae_kwh,validation_weighted_mse,epochs_completed,parameter_count,runtime_seconds,seed
EV,SeasonalNaive,matched_recurring_ev,24,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,88.96086120605469,1.0321054458618164,1.0,1.0,6.307369626590287e-10,2.834238052368164,2.9045238494873047,0.0699404776096344,4.392000198364258,2.703244686126709,0.354190468788147,11.373000144958496,0.011904761904761904,0.017857142857142856,0.3333333333333333,0.5,0.4,2.834238052368164,2.9045238494873047,0.0699404776096344,4.392000198364258,2.703244686126709,0.35419049859046936,nan,0,0,0.004459208000298531,20260730
EV,Ridge,matched_recurring_ev,24,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,102.80025482177734,1.1926672458648682,0.005952380952380952,1.0,0.052340660244226456,11.79808235168457,13.481205940246582,0.44221460819244385,18.23139762878418,11.221294403076172,1.6831265687942505,11.373000144958496,0.011904761904761904,0.5178571428571429,0.011494252873563218,0.5,0.02247191011235955,11.257976531982422,12.727238655090332,0.36872896552085876,16.96865463256836,10.444085121154785,1.660536766052246,nan,0,0,3.892878290999761,20260730
EV,DLinear,matched_recurring_ev,24,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,108.29273986816406,1.2563899755477905,0.0,1.0,0.34595638513565063,15.938607215881348,17.62876319885254,0.5469287037849426,23.723892211914062,14.601885795593262,1.7687276601791382,11.373000144958496,0.011904761904761904,0.7619047619047619,0.015625,1.0,0.03076923076923077,17.26735496520996,26.196426391601562,0.6115843653678894,23.921985626220703,14.723811149597168,14.575542449951172,2.3396351075165818,3,148,0.3542496250001932,20260730
EV,LSTM,matched_recurring_ev,24,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,108.06404876708984,1.2537367343902588,0.0,1.0,0.07609076052904129,15.25886344909668,15.6563138961792,0.38851398229599,23.495195388793945,14.461124420166016,0.6952659487724304,11.373000144958496,0.011904761904761904,1.0,0.011904761904761904,1.0,0.023529411764705882,15.023764610290527,16.26692008972168,0.3898884356021881,21.457611083984375,13.207005500793457,4.083954811096191,2.1259314471074195,3,7322,0.9218455419995735,20260730
EV,TCN,matched_recurring_ev,24,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,104.68247985839844,1.214504361152649,0.0,1.0,0.05853409692645073,13.224020957946777,15.36865520477295,0.5479414463043213,20.113616943359375,12.379786491394043,2.14463472366333,11.373000144958496,0.011904761904761904,0.8035714285714286,0.014814814814814815,1.0,0.029197080291970802,14.152901649475098,16.353281021118164,0.547823429107666,19.070968627929688,11.738044738769531,4.802046775817871,2.1250770000184,3,5530,2.6735429999998814,20260730
EV,iTransformer,matched_recurring_ev,24,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,102.5877914428711,1.1902023553848267,0.0,1.0,0.3450297713279724,11.84623908996582,13.076332092285156,0.3338284194469452,18.018945693969727,11.090531349182129,1.3022810220718384,11.373000144958496,0.011904761904761904,0.5952380952380952,0.02,1.0,0.0392156862745098,14.80750560760498,17.96529197692871,0.4918769598007202,19.930265426635742,12.266935348510742,17.75659942626953,2.1883622463075167,3,14331,2.424861917000271,20260730
EV,FeasibleDLinear,matched_recurring_ev,24,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,869.6516723632812,10.089517593383789,1.0,1.0,0.0,443.5653381347656,482.0832824707031,10.426033973693848,785.0826416015625,483.2127380371094,38.517974853515625,11.373000144958496,0.011904761904761904,1.0,0.011904761904761904,1.0,0.023529411764705882,443.5653381347656,482.0832824707031,10.426033973693848,785.0826416015625,483.2127380371094,38.517974853515625,59.23311007781472,3,148,0.3824540000005072,20260730
EV,FeasibleTCN,matched_recurring_ev,24,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,91.69194030761719,1.0637907981872559,1.0,1.0,0.0,3.4253642559051514,4.416416168212891,0.5875938534736633,7.123077392578125,4.38420295715332,1.1365783214569092,11.373000144958496,0.011904761904761904,0.20833333333333334,0.02857142857142857,0.5,0.05405405405405405,3.4253642559051514,4.416416168212891,0.5875938534736633,7.123077392578125,4.38420295715332,1.1365783214569092,2.156344050062741,3,5530,2.6865038750001986,20260730
EV,FeasibleITransformer,matched_recurring_ev,24,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,89.09564971923828,1.0336692333221436,1.0,1.0,0.0,2.569387197494507,2.9334564208984375,0.45340496301651,4.526785850524902,2.7862040996551514,0.48831161856651306,11.373000144958496,0.011904761904761904,0.08333333333333333,0.07142857142857142,0.5,0.125,2.569387197494507,2.9334564208984375,0.45340496301651,4.526785850524902,2.7862040996551514,0.48831161856651306,2.1886171682880473,3,14331,2.4742424170008235,20260730
ChargerMatched,SeasonalNaive,matched_recurring_ev,6,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,nan,nan,1.0,1.0,2.5229478506361147e-09,2.834238052368164,2.9045238494873047,0.0699404776096344,4.392000198364258,2.703244686126709,0.354190468788147,11.373000144958496,0.047619047619047616,0.07142857142857142,0.3333333333333333,0.5,0.4,2.834238052368164,2.9045238494873047,0.0699404776096344,4.392000198364258,2.703244686126709,0.35419049859046936,nan,0,0,0.00127749999955995,20260730
