day,V0G,Perfect,Noforecast,Persistence_KNN,Statistic_KNN
2023-01-03,8879.239928760002,8058.956687781869,10182.566345099538,7850.401021935185,9385.383723876628
2023-01-04,8961.011177519998,7108.057907326388,9348.336933458086,6341.558308775929,8464.742332273709
2023-01-05,10809.724186080008,8646.595745376731,10657.965110092722,9472.844875130191,10029.180488617882
