day,Real,V0G,Perfect,Noforecast,Persistence_KNN,Statistic_KNN
2023-01-03,2117.686,2117.6859999999992,2117.6859996448775,2117.68599986987,1757.2010747370764,2117.6860003767842
2023-01-04,2260.621,2259.6079999999993,2259.6079476513273,2259.60800375636,2159.1343121630507,2259.608002271952
2023-01-05,1910.678,1910.4919999999997,1910.491979395851,1910.4919998660753,1576.1259615229242,1910.4919971161228
