day,V0G,Perfect_ev,Noforecast_ev,Persistence_ev,Statistic_ev,Perfect_charger,Noforecast_charger,Persistence_charger,LSTM_charger
2023-07-01,4634.71110432486,3133.465515199608,4138.621862814338,3481.5597146821046,3521.435020128559,2982.8053865044762,4132.577244371718,4436.173962224443,4634.429132153466
2023-07-02,4214.224679890165,3027.929320456454,4818.926247679755,3721.079202133543,3808.9089409023527,3024.989061090224,4837.2721102255155,3605.450254368595,4213.836338210789
2023-07-03,12504.873623421598,10496.312001012178,13267.360198380027,11322.618646139623,11796.02552801971,10618.968981515985,13038.029600743585,10711.529472244676,12505.253353540495
