station_name,port
UCSD / SCHOLARS - 14,1
UCSD / SCHOLARS - 14,2
UCSD / SIO P001 1,1
UCSD / SIO P001 1,2
UCSD / SIO P001 2,1
UCSD / SIO P001 2,2
UCSD / SOM P602 1,1
UCSD / SOM P602 1,2
UCSD / SOM P602 2,1
UCSD / SOM P602 2,2
UCSD / SOUTH MESA,1
UCSD / SOUTH MESA,2
UCSD / TORREYPINES S1,1
UCSD / TORREYPINES S1,2
UCSD / TORREYPINES S2,1
UCSD / TORREYPINES S2,2
UCSD / TORREYPINES S3,1
UCSD / TORREYPINES S3,2
UCSD / TRADE STREET 1,1
UCSD / TRADE STREET 1,2
UCSD / UCSD MIRAMAR S1,1
UCSD / UCSD MIRAMAR S1,2
UCSD / UCSD MIRAMAR S2,1
UCSD SCRIPPS / A01 A02,1
UCSD SCRIPPS / A01 A02,2
UCSD SCRIPPS / A03,1
UCSD SCRIPPS / A04 A05,1
UCSD SCRIPPS / A04 A05,2
