day,V0G,Perfect_ev,Noforecast_ev,Persistence_ev,Statistic_ev,Perfect_charger,Noforecast_charger,Persistence_charger,LSTM_charger
2023-07-01,817.4939999999999,817.4940000000003,817.4939999999999,817.494,817.4940000000001,817.494,817.494,817.4940000000001,817.4940000000001
2023-07-02,834.1030000000002,834.1030000000002,834.1030000000001,834.1030000000001,834.1030000000001,834.1030000000003,834.1030000000002,834.1030000000001,834.1030000000001
2023-07-03,2519.01,2519.0099999999998,2519.0099999999993,2519.0099999999993,2519.0099999999993,2519.0099999999993,2519.0099999999993,2519.01,2519.01
