task,model,comparison_scope,entity_count,train_target_days,validation_target_days,test_target_days,context_days,anchor_slots,scope_energy_coverage,operational_terminal_energy_mae_kwh,operational_terminal_energy_wape,raw_valid_signature_rate,projected_valid_signature_rate,projection_mean_absolute_adjustment,aggregate_lower_curve_mae_kwh,aggregate_upper_curve_mae_kwh,aggregate_occupied_equivalent_mae,aggregate_terminal_energy_mae_kwh,aggregate_terminal_energy_wape,aggregate_flexibility_width_mae_kwh,scope_test_energy_kwh,actual_active_rate,predicted_active_rate,participation_precision,participation_recall,participation_f1,raw_aggregate_lower_curve_mae_kwh,raw_aggregate_upper_curve_mae_kwh,raw_aggregate_occupied_equivalent_mae,raw_aggregate_terminal_energy_mae_kwh,raw_aggregate_terminal_energy_wape,raw_aggregate_flexibility_width_mae_kwh,validation_weighted_mse,epochs_completed,parameter_count,runtime_seconds,seed
EV,FeasibleITransformer,matched_recurring_ev,314,427,91,92,28,32;48;64;80;84;96,0.2975478049618916,135.61080932617188,1.4048919677734375,1.0,1.0,0.0,35.42247772216797,42.040916442871094,1.8730398416519165,67.8048324584961,2.3607640266418457,8.248550415039062,2642.384033203125,0.00792716698975353,0.054624757684851845,0.06337135614702155,0.4366812227074236,0.11068068622025455,35.42247772216797,42.040916442871094,1.8730398416519165,67.8048324584961,2.3607640266418457,8.248550415039062,2.8241346764460618,6,14331,65.8893411250001,20260731
ChargerMatched,FeasibleITransformer,matched_recurring_ev,6,427,91,92,28,32;48;64;80;84;96,0.2975478049618916,nan,nan,1.0,1.0,0.0,13.655707359313965,14.51623821258545,0.7854583859443665,18.82054328918457,0.6552757024765015,3.30080509185791,2642.384033203125,0.358695652173913,1.0,0.358695652173913,1.0,0.5279999999999999,13.655707359313965,14.51623821258545,0.7854583859443665,18.82054328918457,0.6552757024765015,3.30080509185791,1.3203844599168681,6,14331,1.2626692500007266,20260731
ChargerFull,FeasibleITransformer,full_six_charger,6,427,91,92,28,32;48;64;80;84;96,1.0,38.886993408203125,0.4028589427471161,1.0,1.0,0.0,29.105121612548828,29.57874870300293,0.7640119791030884,38.886993408203125,0.4028589427471161,5.580923557281494,8880.5361328125,0.7862318840579711,1.0,0.7862318840579711,1.0,0.8803245436105477,29.105121612548828,29.57874870300293,0.7640119791030884,38.886993408203125,0.4028589427471161,5.580923557281494,1.5492622227822581,6,14331,1.248603417000595,20260731
