date,task,model,anchor_slot,actual_lower_kwh,actual_upper_kwh,actual_occupied_equivalent,raw_predicted_lower_kwh,raw_predicted_upper_kwh,predicted_lower_kwh,predicted_upper_kwh,predicted_occupied_equivalent,seed
2023-07-01,EV,FeasibleITransformer,32,0.0,0.0,0.0,0.5399673581123352,7.021766662597656,0.5399673581123352,7.021766662597656,0.49784642457962036,20260731
2023-07-01,EV,FeasibleITransformer,48,0.0,0.0,0.0,9.228337287902832,36.937015533447266,9.228337287902832,36.937015533447266,3.2163150310516357,20260731
2023-07-01,EV,FeasibleITransformer,64,0.0,8.269000053405762,0.6875,39.25630187988281,39.765628814697266,39.25630187988281,39.765628814697266,4.178891181945801,20260731
2023-07-01,EV,FeasibleITransformer,80,0.0,8.269000053405762,1.0,56.36159896850586,56.54347610473633,56.36159896850586,56.54347610473633,2.8966591358184814,20260731
2023-07-01,EV,FeasibleITransformer,84,1.6690000295639038,8.269000053405762,1.0,63.52215576171875,63.57307434082031,63.52215576171875,63.57307434082031,1.2027121782302856,20260731
2023-07-01,EV,FeasibleITransformer,96,8.269000053405762,8.269000053405762,0.3333333432674408,77.47450256347656,77.47450256347656,77.47450256347656,77.47450256347656,0.7559820413589478,20260731
2023-07-02,EV,FeasibleITransformer,32,0.0,0.0,0.0,0.865515410900116,5.0373616218566895,0.865515410900116,5.0373616218566895,0.5127760767936707,20260731
2023-07-02,EV,FeasibleITransformer,48,0.0,0.0,0.0,11.838398933410645,38.490360260009766,11.838398933410645,38.490360260009766,3.256267547607422,20260731
2023-07-02,EV,FeasibleITransformer,64,0.0,0.0,0.0,35.19767379760742,40.13069534301758,35.19767379760742,40.13069534301758,3.714778423309326,20260731
2023-07-02,EV,FeasibleITransformer,80,14.317999839782715,18.149999618530273,0.6875,48.12193298339844,48.48221969604492,48.12193298339844,48.48221969604492,2.8241984844207764,20260731
2023-07-02,EV,FeasibleITransformer,84,20.917999267578125,24.75,1.0,55.865089416503906,56.00822448730469,55.865089416503906,56.00822448730469,1.3553317785263062,20260731
2023-07-02,EV,FeasibleITransformer,96,25.868000030517578,25.868000030517578,0.25,70.26000213623047,70.26000213623047,70.26000213623047,70.26000213623047,0.7654463052749634,20260731
2023-07-03,EV,FeasibleITransformer,32,0.0,0.0,0.0,1.245981216430664,3.846674919128418,1.245981216430664,3.846674919128418,0.5544348359107971,20260731
2023-07-03,EV,FeasibleITransformer,48,0.0,8.196000099182129,0.375,20.03696632385254,53.70109558105469,20.03696632385254,53.70109558105469,4.258932113647461,20260731
2023-07-03,EV,FeasibleITransformer,64,21.006000518798828,30.029998779296875,2.0,40.223751068115234,55.44169616699219,40.223751068115234,55.44169616699219,4.294068813323975,20260731
2023-07-03,EV,FeasibleITransformer,80,41.68299865722656,41.68299865722656,1.3125,58.89009094238281,59.61468505859375,58.89009094238281,59.61468505859375,2.729926347732544,20260731
2023-07-03,EV,FeasibleITransformer,84,41.68299865722656,41.68299865722656,0.0,68.10218048095703,68.3325424194336,68.10218048095703,68.3325424194336,1.6145962476730347,20260731
2023-07-03,EV,FeasibleITransformer,96,41.68299865722656,41.68299865722656,0.0,82.51158142089844,82.51158142089844,82.51158142089844,82.51158142089844,0.7722403407096863,20260731
2023-07-04,EV,FeasibleITransformer,32,0.0,0.0,0.0,1.2680448293685913,3.57930326461792,1.2680448293685913,3.57930326461792,0.5833390355110168,20260731
2023-07-04,EV,FeasibleITransformer,48,0.0,0.0,0.0,27.55631446838379,69.03116607666016,27.55631446838379,69.03116607666016,4.543478488922119,20260731
2023-07-04,EV,FeasibleITransformer,64,0.0,0.0,0.0,46.08705139160156,70.49446105957031,46.08705139160156,70.49446105957031,5.6760993003845215,20260731
2023-07-04,EV,FeasibleITransformer,80,0.0,0.0,0.0,72.02510070800781,73.99186706542969,72.02510070800781,73.99186706542969,2.7503740787506104,20260731
2023-07-04,EV,FeasibleITransformer,84,0.0,0.0,0.0,83.77912902832031,83.98290252685547,83.77912902832031,83.98290252685547,2.094914436340332,20260731
2023-07-04,EV,FeasibleITransformer,96,0.0,0.0,0.0,98.29105377197266,98.29105377197266,98.29105377197266,98.29105377197266,0.7513490319252014,20260731
2023-07-05,EV,FeasibleITransformer,32,0.0,9.899999618530273,0.1875,0.9065973162651062,4.504080295562744,0.9065973162651062,4.504080295562744,0.589123547077179,20260731
2023-07-05,EV,FeasibleITransformer,48,0.0,32.875,1.875,25.68678092956543,73.66126251220703,25.68678092956543,73.66126251220703,4.6970601081848145,20260731
2023-07-05,EV,FeasibleITransformer,64,36.58399963378906,46.07500076293945,2.4375,50.78456497192383,75.66988372802734,50.78456497192383,75.66988372802734,6.655860424041748,20260731
2023-07-05,EV,FeasibleITransformer,80,46.48400115966797,46.48400115966797,0.375,84.47596740722656,85.48820495605469,84.47596740722656,85.48820495605469,2.565631628036499,20260731
2023-07-05,EV,FeasibleITransformer,84,46.48400115966797,46.48400115966797,0.0,95.30204010009766,95.57193756103516,95.30204010009766,95.57193756103516,1.8297020196914673,20260731
2023-07-05,EV,FeasibleITransformer,96,46.48400115966797,46.48400115966797,0.0,108.73362731933594,108.73362731933594,108.73362731933594,108.73362731933594,0.7108590006828308,20260731
2023-07-06,EV,FeasibleITransformer,32,0.0,0.0,0.0,0.6190277934074402,6.823642730712891,0.6190277934074402,6.823642730712891,0.5669561624526978,20260731
2023-07-06,EV,FeasibleITransformer,48,0.0,8.276000022888184,0.5,16.96440887451172,61.416744232177734,16.96440887451172,61.416744232177734,3.9822752475738525,20260731
2023-07-06,EV,FeasibleITransformer,64,8.276000022888184,12.000999450683594,1.1875,48.738059997558594,64.6123046875,48.738059997558594,64.6123046875,6.725168228149414,20260731
2023-07-06,EV,FeasibleITransformer,80,16.927000045776367,16.927000045776367,0.5,84.17423248291016,84.83650970458984,84.17423248291016,84.83650970458984,2.5543017387390137,20260731
2023-07-06,EV,FeasibleITransformer,84,16.927000045776367,16.927000045776367,0.0,94.13480377197266,94.32147979736328,94.13480377197266,94.32147979736328,1.6344046592712402,20260731
