method,time_limit,cost,saving_pct,energy_gap_kwh,energy_gap_pct,status_ratio_optimal
Perfect,4,2131.3256930468738,49.833538617311206,-39.59727550000025,-5.567764852612846,0.9479166666666666
Perfect,8,2131.3256930468738,49.833538617311206,-39.59727550000025,-5.567764852612846,0.9479166666666666
Perfect,15,2131.3256930468738,49.833538617311206,-39.59727550000025,-5.567764852612846,0.9479166666666666
iTransformer,4,2546.876723900644,40.05243157680987,-24.021719000000076,-3.377689021749534,0.9479166666666666
iTransformer,8,2546.876723900644,40.05243157680987,-24.021719000000076,-3.377689021749534,0.9479166666666666
iTransformer,15,2546.876723900644,40.05243157680987,-24.021719000000076,-3.377689021749534,0.9479166666666666
iT-CP90,4,2114.7853013313197,50.22286105871934,-85.51409550000005,-12.02411957175881,0.9479166666666666
iT-CP90,8,2114.7853013313197,50.22286105871934,-85.51409550000005,-12.02411957175881,0.9479166666666666
iT-CP90,15,2114.7853013313197,50.22286105871934,-85.51409550000005,-12.02411957175881,0.9479166666666666
ITCN-ChargerAware,4,2212.6925319501606,47.91835202945665,-61.736470000000054,-8.680752487387307,0.9479166666666666
ITCN-ChargerAware,8,2212.6925319501606,47.91835202945665,-61.736470000000054,-8.680752487387307,0.9479166666666666
ITCN-ChargerAware,15,2212.6925319501606,47.91835202945665,-61.736470000000054,-8.680752487387307,0.9479166666666666
