day,method,case,mpc_cost_strict,cost_saving_pct_strict,noforecast_cost,noforecast_saving_pct,beats_noforecast_raw,dominance_guard_applied,beats_noforecast_postguard,gain_vs_noforecast_pctpt
2023-07-01,Perfect,EV,2259.20932116876,46.8234547467023,3158.9875831776676,25.644762263751048,True,False,True,21.178692482951256
2023-07-01,Perfect,Charger,2283.7426700539745,46.24599664001627,2881.900518185888,32.16674883337806,True,False,True,14.079247806638215
2023-07-01,Noforecast,EV,3158.9875831776676,25.644762263751048,3158.9875831776676,25.644762263751048,False,False,True,0.0
2023-07-01,Noforecast,Charger,2881.900518185888,32.16674883337806,2881.900518185888,32.16674883337806,False,False,True,0.0
2023-07-01,Persistence,EV,3158.9875831776676,25.644762263751048,3158.9875831776676,25.644762263751048,False,True,True,0.0
2023-07-01,Persistence,Charger,2881.010969413067,32.18768674742157,2881.900518185888,32.16674883337806,True,False,True,0.020937914043514638
2023-07-01,Statistic,EV,3080.4265410434427,27.49390690610567,3158.9875831776676,25.644762263751048,True,False,True,1.8491446423546236
2023-07-01,Statistic,Charger,2881.900518185888,32.16674883337806,2881.900518185888,32.16674883337806,False,True,True,0.0
2023-07-01,GMM,EV,2960.9713211288854,30.305605604410836,3158.9875831776676,25.644762263751048,True,False,True,4.660843340659788
2023-07-01,GMM,Charger,2685.752988300331,36.783606555037025,2881.900518185888,32.16674883337806,True,False,True,4.616857721658967
2023-07-01,LSTM,EV,3014.0113475084245,29.057166455112117,3158.9875831776676,25.644762263751048,True,False,True,3.4124041913610696
2023-07-01,LSTM,Charger,2881.900518185888,32.16674883337806,2881.900518185888,32.16674883337806,False,True,True,0.0
2023-07-01,TCN,EV,2652.8961380797514,37.556980569681926,3158.9875831776676,25.644762263751048,True,False,True,11.912218305930878
2023-07-01,TCN,Charger,2510.84589578919,40.90051366625138,2881.900518185888,32.16674883337806,True,False,True,8.73376483287332
2023-07-01,Transformer,EV,2470.187017160353,41.8575293261532,3158.9875831776676,25.644762263751048,True,False,True,16.21276706240215
2023-07-01,Transformer,Charger,2623.6438918360673,38.24551057067057,2881.900518185888,32.16674883337806,True,False,True,6.07876173729251
2023-07-01,iTransformer,EV,2412.993327539281,43.20373607018549,3158.9875831776676,25.644762263751048,True,False,True,17.558973806434444
2023-07-01,iTransformer,Charger,2448.9990154254715,42.356245723312455,2881.900518185888,32.16674883337806,True,False,True,10.189496889934397
2023-07-01,iT-CP90,EV,2624.933466707933,38.21515697045799,3158.9875831776676,25.644762263751048,True,False,True,12.570394706706942
2023-07-01,iT-CP90,Charger,2442.287886587698,42.51421012395417,2881.900518185888,32.16674883337806,True,False,True,10.347461290576113
2023-07-01,iT-CP95,EV,2659.928341358365,37.39145882170944,3158.9875831776676,25.644762263751048,True,False,True,11.746696557958394
2023-07-01,iT-CP95,Charger,2724.792761299234,35.864700884764446,2881.900518185888,32.16674883337806,True,False,True,3.6979520513863875
2023-07-01,TFT-Quantile,EV,2517.3504862642485,40.747410699425714,3158.9875831776676,25.644762263751048,True,False,True,15.102648435674666
2023-07-01,TFT-Quantile,Charger,2487.214691398998,41.45673738481981,2881.900518185888,32.16674883337806,True,False,True,9.289988551441752
2023-07-01,DeepAR-Gaussian,EV,2704.7180510771955,36.33721298294258,3158.9875831776676,25.644762263751048,True,False,True,10.692450719191534
2023-07-01,DeepAR-Gaussian,Charger,2580.440974288802,39.26240700363948,2881.900518185888,32.16674883337806,True,False,True,7.095658170261423
2023-07-01,ITCN-ChargerAware,EV,2626.796465564759,38.1713063001865,3158.9875831776676,25.644762263751048,True,False,True,12.526544036435453
2023-07-01,ITCN-ChargerAware,Charger,2540.2674946761094,40.20799749699918,2881.900518185888,32.16674883337806,True,False,True,8.041248663621118
