day,method,case,actual_sessions,forecast_sessions,actual_energy,forecast_energy,v0g_cost,mpc_cost,cost_saving_pct,peak_kw,energy_kwh,status_ratio_optimal
2023-07-01,Perfect,EV,68,68,711.1880000000001,711.1880000000001,4248.507138640522,2259.20932116876,46.8234547467023,59.954828,711.1879992500001,0.9479166666666666
2023-07-01,Perfect,Charger,68,68,711.1880000000001,711.1880000000001,4248.507138640522,2131.3256930468738,49.833538617311206,56.228966,671.5907244999999,0.9479166666666666
2023-07-01,Noforecast,EV,68,0,711.1880000000001,0.0,4248.507138640522,3158.9875831776676,25.644762263751048,75.225482,711.18799995,0.9166666666666666
2023-07-01,Noforecast,Charger,68,0,711.1880000000001,0.0,4248.507138640522,2613.131636214555,38.492944675839006,68.428,641.3629996999999,0.9166666666666666
2023-07-01,Persistence,EV,68,77,711.1880000000001,770.163,4248.507138640522,3181.4432805064966,25.116207253813734,85.150793,711.18800025,0.9479166666666666
2023-07-01,Persistence,Charger,68,77,711.1880000000001,770.163,4248.507138640522,2829.6403369885893,33.39683223660429,78.171178,697.8421304999999,0.9479166666666666
2023-07-01,Statistic,EV,68,25,711.1880000000001,180.691,4248.507138640522,3080.4265410434427,27.49390690610567,72.1625,711.18799975,0.9479166666666666
2023-07-01,Statistic,Charger,68,25,711.1880000000001,180.691,4248.507138640522,2687.5150315444275,36.74213214563635,62.328874,631.16217225,0.9479166666666666
2023-07-01,GMM,EV,68,50,711.1880000000001,526.752548439324,4248.507138640522,2960.9713211288854,30.305605604410836,84.185523,711.1879995,0.9479166666666666
2023-07-01,GMM,Charger,68,50,711.1880000000001,526.752548439324,4248.507138640522,2461.247505309772,42.06794469227735,67.881873,652.8624405,0.9479166666666666
2023-07-01,LSTM,EV,68,76,711.1880000000001,729.33706827562,4248.507138640522,3014.0113475084245,29.057166455112117,80.094675,711.187999925,0.9479166666666666
2023-07-01,LSTM,Charger,68,76,711.1880000000001,729.33706827562,4248.507138640522,2758.417045804394,35.073263247780275,72.262764,660.97744775,0.9479166666666666
2023-07-01,TCN,EV,68,67,711.1880000000001,585.6889132806114,4248.507138640522,2652.8961380797514,37.556980569681926,65.855336,711.18800025,0.9479166666666666
2023-07-01,TCN,Charger,68,67,711.1880000000001,585.6889132806114,4248.507138640522,2392.002569890574,43.697809799232445,58.710571,680.3130147500001,0.9479166666666666
2023-07-01,Transformer,EV,68,66,711.1880000000001,613.6562949646027,4248.507138640522,2470.187017160353,41.8575293261532,66.686875,711.1879999999999,0.9479166666666666
2023-07-01,Transformer,Charger,68,66,711.1880000000001,613.6562949646027,4248.507138640522,2538.929238738092,40.239496936551625,70.45556,689.17949725,0.9479166666666666
2023-07-01,iTransformer,EV,68,74,711.1880000000001,666.3606460551084,4248.507138640522,2412.993327539281,43.20373607018549,63.760635,711.1879996,0.9479166666666666
2023-07-01,iTransformer,Charger,68,74,711.1880000000001,666.3606460551084,4248.507138640522,2337.5831738424545,44.97871610990262,63.056594,682.2426432499999,0.9479166666666666
