day,method,case,actual_energy,energy_kwh,unserved_kwh,energy_gap_pct,energy_gap_pct_strict,sanity_energy_pass,sanity_energy_pass_strict
2023-07-01,Perfect,EV,711.1880000000001,711.1879992500001,7.500000265281415e-07,-1.054573511544263e-07,0.0,True,True
2023-07-01,Perfect,Charger,711.1880000000001,671.5907244999999,39.59727550000025,-5.567764852612846,0.0,False,True
2023-07-01,Noforecast,EV,711.1880000000001,711.18799995,5.000015335099306e-08,-7.030511390939252e-09,0.0,True,True
2023-07-01,Noforecast,Charger,711.1880000000001,641.3629996999999,69.82500030000017,-9.8180790873862,0.0,False,True
2023-07-01,Persistence,EV,711.1880000000001,711.18800025,0.0,3.5152429070831274e-08,0.0,True,True
2023-07-01,Persistence,Charger,711.1880000000001,697.8421304999999,13.345869500000163,-1.8765599953880212,0.0,True,True
2023-07-01,Statistic,EV,711.1880000000001,711.18799975,2.5000008463393897e-07,-3.5152461041797517e-08,0.0,True,True
2023-07-01,Statistic,Charger,711.1880000000001,631.16217225,80.02582775000008,-11.252415359932966,0.0,False,True
2023-07-01,GMM,EV,711.1880000000001,711.1879995,5.000000555810402e-07,-7.030490609811194e-08,0.0,True,True
2023-07-01,GMM,Charger,711.1880000000001,652.8624405,58.325559500000054,-8.201145055878339,0.0,False,True
2023-07-01,LSTM,EV,711.1880000000001,711.187999925,7.500011633965187e-08,-1.0545751100925756e-08,0.0,True,True
2023-07-01,LSTM,Charger,711.1880000000001,660.97744775,50.21055225000009,-7.060095537326289,0.0,False,True
2023-07-01,TCN,EV,711.1880000000001,711.18800025,0.0,3.5152429070831274e-08,0.0,True,True
2023-07-01,TCN,Charger,711.1880000000001,680.3130147500001,30.87498525000001,-4.341325394972919,0.0,True,True
2023-07-01,Transformer,EV,711.1880000000001,711.1879999999999,2.2737367544323206e-13,-3.197096624847889e-14,0.0,True,True
2023-07-01,Transformer,Charger,711.1880000000001,689.17949725,22.008502750000048,-3.094611094394175,0.0,True,True
2023-07-01,iTransformer,EV,711.1880000000001,711.1879996,4.0000008993956726e-07,-5.6243931272682774e-08,0.0,True,True
2023-07-01,iTransformer,Charger,711.1880000000001,682.2426432499999,28.9453567500002,-4.07000072414048,0.0,True,True
2023-07-01,iT-CP90,EV,711.1880000000001,711.1879999999999,2.2737367544323206e-13,-3.197096624847889e-14,0.0,True,True
2023-07-01,iT-CP90,Charger,711.1880000000001,630.9977134999999,80.19028650000018,-11.27553987131394,0.0,False,True
2023-07-01,iT-CP95,EV,711.1880000000001,711.1879999999999,2.2737367544323206e-13,-3.197096624847889e-14,0.0,True,True
2023-07-01,iT-CP95,Charger,711.1880000000001,641.89210725,69.29589275000012,-9.743681382419291,0.0,False,True
2023-07-01,TFT-Quantile,EV,711.1880000000001,711.18800075,0.0,1.0545733516894318e-07,0.0,True,True
2023-07-01,TFT-Quantile,Charger,711.1880000000001,647.77339375,63.41460625000013,-8.916714884109425,0.0,False,True
2023-07-01,DeepAR-Gaussian,EV,711.1880000000001,711.1879999999999,2.2737367544323206e-13,-3.197096624847889e-14,0.0,True,True
2023-07-01,DeepAR-Gaussian,Charger,711.1880000000001,647.0965442500001,64.09145575000002,-9.011886554610037,0.0,False,True
2023-07-01,ITCN-ChargerAware,EV,711.1880000000001,711.1879993499999,6.500001745735062e-07,-9.139639231448029e-08,0.0,True,True
2023-07-01,ITCN-ChargerAware,Charger,711.1880000000001,659.2621932500001,51.92580674999999,-7.301277123629755,0.0,False,True
