day,method,case,cost,saving_pct,energy_kwh,optimal_ratio
2023-07-01,Noforecast,EV,3158.9875831776676,25.644762263751048,711.18799995,0.9166666666666666
2023-07-01,Noforecast,Charger,5634.932094327596,-32.633226459182,711.1880000000001,0.9166666666666666
2023-07-01,Persistence,EV,3208.646255902501,24.47591233354419,711.188001,0.9479166666666666
2023-07-01,Persistence,Charger,2724.051986246087,35.88213701065463,712.3453255,0.9479166666666666
2023-07-01,Statistic,EV,3245.8560233730122,23.60008074714798,711.18800025,0.9479166666666666
2023-07-01,Statistic,Charger,3087.837965872792,27.319459162757383,728.4907835000001,0.9479166666666666
