day,method,case,actual_sessions,forecast_sessions,actual_energy,forecast_energy,v0g_cost,mpc_cost,cost_saving_pct,peak_kw,energy_kwh,status_ratio_optimal,energy_gap_kwh,energy_gap_pct,sanity_energy_pass,sanity_opt_pass,sanity_pass,method_show,unserved_kwh,strict_fill_lambda_dollar_per_kwh,mpc_cost_strict,energy_kwh_strict,energy_gap_kwh_strict,energy_gap_pct_strict,sanity_energy_pass_strict,cost_saving_pct_strict
2023-07-01,Perfect,EV,68,68,711.1880000000001,711.1880000000001,4248.507138640522,2259.20932116876,46.8234547467023,59.954828,711.1879992500001,0.9479166666666666,-7.500000265281415e-07,-1.054573511544263e-07,True,False,False,Perfect,7.500000265281415e-07,3.8491783862023463,2259.20932116876,711.1880000000001,0.0,0.0,True,46.8234547467023
2023-07-01,Perfect,Charger,68,68,711.1880000000001,711.1880000000001,4248.507138640522,2131.3256930468738,49.833538617311206,56.228966,671.5907244999999,0.9479166666666666,-39.59727550000025,-5.567764852612846,False,False,False,Perfect,39.59727550000025,3.8491783862023463,2283.7426700539745,711.1880000000001,0.0,0.0,True,46.24599664001627
2023-07-01,Noforecast,EV,68,0,711.1880000000001,0.0,4248.507138640522,3158.9875831776676,25.644762263751048,75.225482,711.18799995,0.9166666666666666,-5.0000153350993066e-08,-7.030511390939252e-09,True,False,False,NoForecast,5.000015335099306e-08,3.8491783862023463,3158.9875831776676,711.1880000000001,0.0,0.0,True,25.644762263751048
2023-07-01,Noforecast,Charger,68,0,711.1880000000001,0.0,4248.507138640522,2613.131636214555,38.492944675839006,68.428,641.3629996999999,0.9166666666666666,-69.82500030000017,-9.8180790873862,False,False,False,NoForecast,69.82500030000017,3.8491783862023463,2881.900518185888,711.1880000000001,0.0,0.0,True,32.16674883337806
2023-07-01,Persistence,EV,68,77,711.1880000000001,770.163,4248.507138640522,3181.4432805064966,25.116207253813737,85.150793,711.18800025,0.9479166666666666,2.499998572602635e-07,3.5152429070831274e-08,True,False,False,Persistence,0.0,3.8491783862023463,3181.4432805064966,711.1880000000001,0.0,0.0,True,25.116207253813734
2023-07-01,Persistence,Charger,68,77,711.1880000000001,770.163,4248.507138640522,2829.6403369885893,33.39683223660429,78.171178,697.8421304999999,0.9479166666666666,-13.345869500000164,-1.8765599953880212,True,False,False,Persistence,13.345869500000163,3.8491783862023463,2881.010969413067,711.1880000000001,0.0,0.0,True,32.18768674742157
2023-07-01,Statistic,EV,68,25,711.1880000000001,180.691,4248.507138640522,3080.4265410434427,27.49390690610567,72.1625,711.18799975,0.9479166666666666,-2.5000008463393897e-07,-3.5152461041797517e-08,True,False,False,Statistic,2.5000008463393897e-07,3.8491783862023463,3080.4265410434427,711.1880000000001,0.0,0.0,True,27.49390690610567
2023-07-01,Statistic,Charger,68,25,711.1880000000001,180.691,4248.507138640522,2687.5150315444275,36.74213214563635,62.328874,631.16217225,0.9479166666666666,-80.02582775000008,-11.252415359932966,False,False,False,Statistic,80.02582775000008,3.8491783862023463,2995.5487180576797,711.1880000000001,0.0,0.0,True,29.49173391253323
2023-07-01,GMM,EV,68,50,711.1880000000001,526.752548439324,4248.507138640522,2960.9713211288854,30.305605604410836,84.185523,711.1879995,0.9479166666666666,-5.000000555810402e-07,-7.030490609811194e-08,True,False,False,GMM,5.000000555810402e-07,3.8491783862023463,2960.9713211288854,711.1880000000001,0.0,0.0,True,30.305605604410836
2023-07-01,GMM,Charger,68,50,711.1880000000001,526.752548439324,4248.507138640522,2461.247505309772,42.06794469227735,67.881873,652.8624405,0.9479166666666666,-58.325559500000054,-8.201145055878339,False,False,False,GMM,58.325559500000054,3.8491783862023463,2685.752988300331,711.1880000000001,0.0,0.0,True,36.783606555037025
