method,cost,energy_kwh,required_energy_kwh,unserved_energy_kwh,peak_kw,onpeak_peak_kw,optimal_solve_ratio,solve_count,fallback_count,dropped_forecast_sessions,cost_saving_vs_v0g,cost_saving_pct_vs_v0g,target_day,history_day,charger_count,actual_session_count,forecast_session_count,charger_ids,day_ahead_ev_oracle_cost,day_ahead_charger_oracle_cost,oracle_equivalence_gap
V0G,726.034452454418,94.66299999999998,94.663,0.0,19.799999999999997,6.6,1.0,0,0,0,0.0,0.0,2023-07-01,2023-06-24,6,15,0,UCSD / BIRCH AQUARIUM|1;UCSD / RADY P357 3|2;UCSD / ECPS WEST|1;UCSD / ECPS EAST|1;UCSD / GILMAN 2-2|2;UCSD / BIRCH AQUARIUM|2,415.6250575369731,415.62505753697315,5.684341886080802e-14
Perfect,415.62505753697366,94.66300000000001,94.663,0.0,9.155600000000021,5.461333333333336,1.0,80,0,0,310.40939491744433,42.75408609991996,2023-07-01,2023-06-24,6,15,15,UCSD / BIRCH AQUARIUM|1;UCSD / RADY P357 3|2;UCSD / ECPS WEST|1;UCSD / ECPS EAST|1;UCSD / GILMAN 2-2|2;UCSD / BIRCH AQUARIUM|2,415.6250575369731,415.62505753697315,5.684341886080802e-14
NoForecast,469.5817053389594,94.66300000000001,94.663,0.0,11.23962962962963,5.461333333333336,1.0,61,0,0,256.4527471154586,35.322393620371514,2023-07-01,2023-06-24,6,15,0,UCSD / BIRCH AQUARIUM|1;UCSD / RADY P357 3|2;UCSD / ECPS WEST|1;UCSD / ECPS EAST|1;UCSD / GILMAN 2-2|2;UCSD / BIRCH AQUARIUM|2,415.6250575369731,415.62505753697315,5.684341886080802e-14
Persistence,502.47064575769076,94.663,94.663,0.0,12.511696969696969,5.461333333333334,1.0,73,0,1,223.56380669672723,30.792451507080933,2023-07-01,2023-06-24,6,15,10,UCSD / BIRCH AQUARIUM|1;UCSD / RADY P357 3|2;UCSD / ECPS WEST|1;UCSD / ECPS EAST|1;UCSD / GILMAN 2-2|2;UCSD / BIRCH AQUARIUM|2,415.6250575369731,415.62505753697315,5.684341886080802e-14
