method,continuous_cost,saving_vs_v0g,saving_pct_vs_v0g,sum_standalone_cost_same_load,daily_proxy_overstatement,energy_kwh,required_energy_kwh,unserved_energy_kwh,final_peak_kw,final_onpeak_peak_kw,optimal_solve_ratio,solve_count,fallback_count,target_day_count,charger_count,charger_ids
V0G,1148.032662746708,0.0,0.0,2916.563913050708,1768.531250304,368.28700000000003,368.28700000000003,0.0,26.991999999999997,13.2,1.0,0,0,3,6,UCSD / BIRCH AQUARIUM|1;UCSD / BIRCH AQUARIUM|2;UCSD / RADY P357 1|1;UCSD / SIO P001 1|1;UCSD / ECPS EAST|1;UCSD / P610 3|1
Perfect,675.2612275095778,472.77143523713016,41.181009093069534,1719.2591312240397,1043.997903714462,368.28700000000003,368.28700000000003,2.842170943040401e-14,15.857000000000006,7.174666666666672,1.0,257,0,3,6,UCSD / BIRCH AQUARIUM|1;UCSD / BIRCH AQUARIUM|2;UCSD / RADY P357 1|1;UCSD / SIO P001 1|1;UCSD / ECPS EAST|1;UCSD / P610 3|1
NoForecast,864.0209978052777,284.01166494143024,24.73898819759383,2026.1780049481354,1162.1570071428578,368.28700000000003,368.28700000000003,2.842170943040401e-14,20.036843537414967,9.802666666666706,1.0,172,0,3,6,UCSD / BIRCH AQUARIUM|1;UCSD / BIRCH AQUARIUM|2;UCSD / RADY P357 1|1;UCSD / SIO P001 1|1;UCSD / ECPS EAST|1;UCSD / P610 3|1
Persistence,860.6006594329396,287.4320033137684,25.036918603524516,2120.5586517588827,1259.957992325943,368.287,368.28700000000003,2.842170943040401e-14,18.820276719576725,10.722103703703706,1.0,249,0,3,6,UCSD / BIRCH AQUARIUM|1;UCSD / BIRCH AQUARIUM|2;UCSD / RADY P357 1|1;UCSD / SIO P001 1|1;UCSD / ECPS EAST|1;UCSD / P610 3|1
