task,model,entity_count,train_target_days,validation_target_days,test_target_days,context_days,comparison_scope,scope_energy_coverage,operational_daily_energy_mae_kwh,operational_daily_energy_wape,count_mae,energy_mae_kwh,energy_wape,actual_active_rate,predicted_active_rate,participation_precision,participation_recall,participation_f1,arrival_mae_slots,departure_mae_slots,dwell_mae_slots,aggregate_daily_energy_mae_kwh,aggregate_daily_energy_wape,scope_test_energy_kwh,validation_masked_mse,parameter_count,runtime_seconds,seed
EV,SeasonalNaive,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,91.26280496301858,0.9416856979621476,0.011716923676431179,0.136193186044693,1.7561311721801758,0.006778868630201029,0.006252921926133708,0.14018691588785046,0.12931034482758622,0.13452914798206278,42.91401290893555,55.5533332824707,13.063451766967773,23.198217391967773,0.804105818271637,2654.173095703125,nan,0,0.0008612499805167317,20260726
EV,Ridge,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,163.3084835876589,1.6850814897997188,0.03717571496963501,0.3927970230579376,5.064886569976807,0.006778868630201029,0.00043828892005610097,0.4666666666666667,0.03017241379310345,0.056680161943319846,46.72364044189453,60.22824478149414,13.604687690734863,95.243896484375,3.3013815879821777,2654.173095703125,nan,0,0.1472181660356,20260726
EV,HurdleRidge,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,1337.051683516606,13.796227809500309,0.33751949667930603,3.4969401359558105,45.09098815917969,0.006778868630201029,0.05399719495091164,0.06060606060606061,0.4827586206896552,0.1076923076923077,31.063932418823242,37.476806640625,9.845582962036133,1268.987060546875,43.98613357543945,2654.173095703125,nan,0,0.5760569999692962,20260726
EV,DLinear,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,161.65894886462584,1.6680609384633704,0.03943590819835663,0.3893284201622009,5.020161151885986,0.006778868630201029,0.0001753155680224404,0.5,0.01293103448275862,0.025210084033613443,47.14338684082031,60.89765548706055,13.796689987182617,93.59436798095703,3.2442049980163574,2654.173095703125,2.32126884169703,83,9.058907416998409,20260726
EV,LSTM,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,179.94332571392474,1.8567263666420473,0.03844406083226204,0.43970388174057007,5.6697235107421875,0.006778868630201029,0.0001168770453482936,0.0,0.0,0.0,47.65019607543945,61.559165954589844,13.908967971801758,111.87874603271484,3.8779854774475098,2654.173095703125,2.4009469094719407,5177,47.38850712508429,20260726
EV,TCN,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,166.0162572938463,1.7130213692880587,0.03322627395391464,0.39993560314178467,5.15693473815918,0.006778868630201029,0.0,0.0,0.0,0.0,47.65019607543945,61.559165954589844,13.908967971801758,97.9516830444336,3.395240068435669,2654.173095703125,2.3767431709761704,3801,120.55595787498169,20260726
EV,iTransformer,372,427,91,92,28,matched_recurring_ev,0.2976826545858962,155.80729758998623,1.6076812874431874,0.03803332895040512,0.3727336823940277,4.806181907653809,0.006778868630201029,0.0009350163627863488,0.34375,0.04741379310344827,0.08333333333333333,46.14110565185547,59.190250396728516,13.337179183959961,87.74270629882812,3.041372537612915,2654.173095703125,2.371626544333294,13850,28.755535083008,20260726
ChargerMatched,SeasonalNaive,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.5018116235733032,6.540040016174316,1.3601607084274292,0.36231884057971014,0.3442028985507246,0.46842105263157896,0.445,0.45641025641025645,32.026649475097656,39.288917541503906,11.362666130065918,23.198217391967773,0.804105818271637,2654.173095703125,nan,0,0.00015974999405443668,20260726
ChargerMatched,Ridge,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.5911850929260254,6.890371799468994,1.4330207109451294,0.36231884057971014,0.7155797101449275,0.42025316455696204,0.83,0.5579831932773109,17.745031356811523,18.949298858642578,7.957756519317627,21.165340423583984,0.7336413860321045,2654.173095703125,nan,0,0.005228332942351699,20260726
ChargerMatched,HurdleRidge,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.46514809131622314,5.395627975463867,1.1221524477005005,0.36231884057971014,0.2554347826086957,0.5531914893617021,0.39,0.4574780058651027,36.449275970458984,44.80369186401367,11.405137062072754,16.52496910095215,0.572795033454895,2654.173095703125,nan,0,0.007941458956338465,20260726
