task,model,entity_count,train_target_days,validation_target_days,test_target_days,context_days,comparison_scope,scope_energy_coverage,operational_daily_energy_mae_kwh,operational_daily_energy_wape,count_mae,energy_mae_kwh,energy_wape,actual_active_rate,predicted_active_rate,participation_precision,participation_recall,participation_f1,arrival_mae_slots,departure_mae_slots,dwell_mae_slots,aggregate_daily_energy_mae_kwh,aggregate_daily_energy_wape,scope_test_energy_kwh,validation_masked_mse,parameter_count,runtime_seconds,seed
ChargerMatched,DLinear,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.6490657925605774,10.458056449890137,2.1750078201293945,0.36231884057971014,0.7644927536231884,0.4004739336492891,0.845,0.5434083601286174,17.8620662689209,19.8313045501709,8.110980987548828,47.13011169433594,1.633642554283142,2654.173095703125,0.9623998645966408,83,0.16376891697291285,20260726
ChargerMatched,LSTM,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.789056658744812,9.476704597473145,1.9709118604660034,0.36231884057971014,1.0,0.36231884057971014,1.0,0.5319148936170213,12.077493667602539,10.175989151000977,7.275176525115967,36.574832916259766,1.2677713632583618,2654.173095703125,0.8303422816465914,5177,0.7055259170010686,20260726
ChargerMatched,TCN,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.6764670610427856,7.31974983215332,1.5223203897476196,0.36231884057971014,1.0,0.36231884057971014,1.0,0.5319148936170213,11.555184364318848,10.162012100219727,7.321517467498779,22.80422592163086,0.7904491424560547,2654.173095703125,0.8250833187463149,3801,1.915714917005971,20260726
ChargerMatched,iTransformer,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.6535412669181824,5.9660797119140625,1.24079167842865,0.36231884057971014,0.6431159420289855,0.3971830985915493,0.705,0.5081081081081081,21.650104522705078,24.534032821655273,9.316676139831543,22.01152229309082,0.7629721164703369,2654.173095703125,0.9667421005628323,13850,0.5248174170264974,20260726
ChargerMatched,GraphGNN,6,427,91,92,28,matched_recurring_ev,0.2976826819678466,nan,nan,0.644282877445221,7.222708225250244,1.5021382570266724,0.36231884057971014,0.9746376811594203,0.36617100371747213,0.985,0.5338753387533877,12.490972518920898,10.834546089172363,7.209497451782227,20.98171043395996,0.7272763848304749,2654.173095703125,0.8173956903878641,6181,0.5505846660817042,20260726
ChargerFull,SeasonalNaive,6,427,91,92,28,full_six_charger,1.0,36.89152145385742,0.3806612491607666,0.9800724387168884,13.365988731384277,0.8274933099746704,0.7898550724637681,0.7844202898550725,0.8198614318706697,0.8142201834862385,0.8170310701956272,18.830387115478516,20.156707763671875,8.607815742492676,36.89152145385742,0.3806612491607666,8916.1162109375,nan,0,0.0001562919933348894,20260726
ChargerFull,Ridge,6,427,91,92,28,full_six_charger,1.0,29.590225219726562,0.30532360076904297,0.8399971127510071,11.035385131835938,0.6832047700881958,0.7898550724637681,0.980072463768116,0.7929759704251387,0.9839449541284404,0.8781985670419652,10.008552551269531,8.87590503692627,6.418459415435791,29.590225219726562,0.30532360076904297,8916.1162109375,nan,0,0.0051977080292999744,20260726
ChargerFull,HurdleRidge,6,427,91,92,28,full_six_charger,1.0,38.64484405517578,0.39875271916389465,0.8458324670791626,10.879437446594238,0.6735499501228333,0.7898550724637681,0.822463768115942,0.8414096916299559,0.8761467889908257,0.8584269662921349,20.27486228942871,22.83557891845703,8.037313461303711,38.64484405517578,0.39875271916389465,8916.1162109375,nan,0,0.008045165915973485,20260726
ChargerFull,DLinear,6,427,91,92,28,full_six_charger,1.0,53.72474670410156,0.5543531179428101,0.9038700461387634,13.659063339233398,0.8456376791000366,0.7898550724637681,0.9963768115942029,0.7909090909090909,0.9977064220183486,0.8823529411764706,10.84310245513916,8.668105125427246,6.119660377502441,53.72474670410156,0.5543531179428101,8916.1162109375,0.9024104394954005,83,0.16357075003907084,20260726
ChargerFull,LSTM,6,427,91,92,28,full_six_charger,1.0,33.01711654663086,0.34068360924720764,0.8610304594039917,11.317489624023438,0.7006700038909912,0.7898550724637681,1.0,0.7898550724637681,1.0,0.8825910931174089,9.298820495605469,7.918062210083008,6.653301239013672,33.01711654663086,0.34068360924720764,8916.1162109375,0.7741270915770427,5177,0.7773554170271382,20260726
ChargerFull,TCN,6,427,91,92,28,full_six_charger,1.0,31.443130493164062,0.32444262504577637,0.912117600440979,11.421462059020996,0.7071069478988647,0.7898550724637681,1.0,0.7898550724637681,1.0,0.8825910931174089,9.179130554199219,7.86129093170166,6.60846471786499,31.443130493164062,0.32444262504577637,8916.1162109375,0.7782486325218564,3801,1.9099232499720529,20260726
ChargerFull,iTransformer,6,427,91,92,28,full_six_charger,1.0,34.67811965942383,0.3578225076198578,0.9811618328094482,10.984435081481934,0.6800504326820374,0.7898550724637681,0.9873188405797102,0.7889908256880734,0.9862385321100917,0.8766564729867481,10.814840316772461,8.974944114685059,7.045300483703613,34.67811965942383,0.3578225076198578,8916.1162109375,0.9092628181754768,13850,0.5303870829520747,20260726
ChargerFull,GraphGNN,6,427,91,92,28,full_six_charger,1.0,29.966262817382812,0.30920371413230896,0.856754720211029,11.266239166259766,0.6974970102310181,0.7898550724637681,1.0,0.7898550724637681,1.0,0.8825910931174089,9.268549919128418,7.734041213989258,6.6290435791015625,29.966262817382812,0.30920371413230896,8916.1162109375,0.7505409141639611,6181,0.5430656659882516,20260726
